pair_id,sentence,type,pronoun,preferred,noun,verb
0,Michael owned a dog ||| . The dog  ||| had a long tail.,negation,0,1,dog,own
39,David saw a dog ||| . It  ||| loved cheese.,negation,1,1,dog,see
39,David didn't see a dog ||| . It  ||| loved cheese.,negation,1,0,dog,see
40,Sarah kicked a dog ||| . The dog  ||| had a long tail.,negation,0,1,dog,kick
40,Sarah didn't kick a dog ||| . The dog  ||| had a long tail.,negation,0,0,dog,kick
41,Sarah kicked a dog ||| . It  ||| had a long tail.,negation,1,1,dog,kick
41,Sarah didn't kick a dog ||| . It  ||| had a long tail.,negation,1,0,dog,kick
42,Richard kicked a dog ||| . The dog  ||| had a red collar.,negation,0,1,dog,kick
42,Richard didn't kick a dog ||| . The dog  ||| had a red collar.,negation,0,0,dog,kick
43,Richard kicked a dog ||| . It  ||| had a red collar.,negation,1,1,dog,kick
43,Richard didn't kick a dog ||| . It  ||| had a red collar.,negation,1,0,dog,kick
44,Barbara kicked a dog ||| . The dog  ||| had a blind eye.,negation,0,1,dog,kick
44,Barbara didn't kick a dog ||| . The dog  ||| had a blind eye.,negation,0,0,dog,kick
45,Barbara kicked a dog ||| . It  ||| had a blind eye.,negation,1,1,dog,kick
45,Barbara didn't kick a dog ||| . It  ||| had a blind eye.,negation,1,0,dog,kick
46,Jessica kicked a dog ||| . The dog  ||| had a shrill voice.,negation,0,1,dog,kick
46,Jessica didn't kick a dog ||| . The dog  ||| had a shrill voice.,negation,0,0,dog,kick
47,Jessica kicked a dog ||| . It  ||| had a shrill voice.,negation,1,1,dog,kick
47,Jessica didn't kick a dog ||| . It  ||| had a shrill voice.,negation,1,0,dog,kick
48,James kicked a dog ||| . The dog  ||| had a colorful back.,negation,0,1,dog,kick
48,James didn't kick a dog ||| . The dog  ||| had a colorful back.,negation,0,0,dog,kick
49,James kicked a dog ||| . It  ||| had a colorful back.,negation,1,1,dog,kick
49,James didn't kick a dog ||| . It  ||| had a colorful back.,negation,1,0,dog,kick
50,Mary kicked a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,kick
50,Mary didn't kick a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,kick
51,Mary kicked a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,1,dog,kick
51,Mary didn't kick a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,0,dog,kick
52,Joseph kicked a dog ||| . The dog  ||| preferred fish over other food.,negation,0,1,dog,kick
52,Joseph didn't kick a dog ||| . The dog  ||| preferred fish over other food.,negation,0,0,dog,kick
53,Joseph kicked a dog ||| . It  ||| preferred fish over other food.,negation,1,1,dog,kick
53,Joseph didn't kick a dog ||| . It  ||| preferred fish over other food.,negation,1,0,dog,kick
54,David kicked a dog ||| . The dog  ||| was called Fido.,negation,0,1,dog,kick
54,David didn't kick a dog ||| . The dog  ||| was called Fido.,negation,0,0,dog,kick
55,David kicked a dog ||| . It  ||| was called Fido.,negation,1,1,dog,kick
55,David didn't kick a dog ||| . It  ||| was called Fido.,negation,1,0,dog,kick
56,Jessica kicked a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,1,dog,kick
56,Jessica didn't kick a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,0,dog,kick
57,Jessica kicked a dog ||| . It  ||| liked to swim in lakes.,negation,1,1,dog,kick
57,Jessica didn't kick a dog ||| . It  ||| liked to swim in lakes.,negation,1,0,dog,kick
58,Jennifer kicked a dog ||| . The dog  ||| loved cheese.,negation,0,1,dog,kick
58,Jennifer didn't kick a dog ||| . The dog  ||| loved cheese.,negation,0,0,dog,kick
59,Jennifer kicked a dog ||| . It  ||| loved cheese.,negation,1,1,dog,kick
59,Jennifer didn't kick a dog ||| . It  ||| loved cheese.,negation,1,0,dog,kick
60,Jessica brought a dog ||| . The dog  ||| had a long tail.,negation,0,1,dog,bring
60,Jessica didn't bring a dog ||| . The dog  ||| had a long tail.,negation,0,0,dog,bring
61,Jessica brought a dog ||| . It  ||| had a long tail.,negation,1,1,dog,bring
61,Jessica didn't bring a dog ||| . It  ||| had a long tail.,negation,1,0,dog,bring
62,Jennifer brought a dog ||| . The dog  ||| had a red collar.,negation,0,1,dog,bring
62,Jennifer didn't bring a dog ||| . The dog  ||| had a red collar.,negation,0,0,dog,bring
63,Jennifer brought a dog ||| . It  ||| had a red collar.,negation,1,1,dog,bring
63,Jennifer didn't bring a dog ||| . It  ||| had a red collar.,negation,1,0,dog,bring
64,Richard brought a dog ||| . The dog  ||| had a blind eye.,negation,0,1,dog,bring
64,Richard didn't bring a dog ||| . The dog  ||| had a blind eye.,negation,0,0,dog,bring
65,Richard brought a dog ||| . It  ||| had a blind eye.,negation,1,1,dog,bring
65,Richard didn't bring a dog ||| . It  ||| had a blind eye.,negation,1,0,dog,bring
66,Elizabeth brought a dog ||| . The dog  ||| had a shrill voice.,negation,0,1,dog,bring
66,Elizabeth didn't bring a dog ||| . The dog  ||| had a shrill voice.,negation,0,0,dog,bring
67,Elizabeth brought a dog ||| . It  ||| had a shrill voice.,negation,1,1,dog,bring
67,Elizabeth didn't bring a dog ||| . It  ||| had a shrill voice.,negation,1,0,dog,bring
68,Sarah brought a dog ||| . The dog  ||| had a colorful back.,negation,0,1,dog,bring
68,Sarah didn't bring a dog ||| . The dog  ||| had a colorful back.,negation,0,0,dog,bring
69,Sarah brought a dog ||| . It  ||| had a colorful back.,negation,1,1,dog,bring
69,Sarah didn't bring a dog ||| . It  ||| had a colorful back.,negation,1,0,dog,bring
70,Joseph brought a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,bring
70,Joseph didn't bring a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,bring
71,Joseph brought a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,1,dog,bring
71,Joseph didn't bring a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,0,dog,bring
72,Nancy brought a dog ||| . The dog  ||| preferred fish over other food.,negation,0,1,dog,bring
72,Nancy didn't bring a dog ||| . The dog  ||| preferred fish over other food.,negation,0,0,dog,bring
73,Nancy brought a dog ||| . It  ||| preferred fish over other food.,negation,1,1,dog,bring
73,Nancy didn't bring a dog ||| . It  ||| preferred fish over other food.,negation,1,0,dog,bring
74,Susan brought a dog ||| . The dog  ||| was called Fido.,negation,0,1,dog,bring
74,Susan didn't bring a dog ||| . The dog  ||| was called Fido.,negation,0,0,dog,bring
75,Susan brought a dog ||| . It  ||| was called Fido.,negation,1,1,dog,bring
75,Susan didn't bring a dog ||| . It  ||| was called Fido.,negation,1,0,dog,bring
76,Joseph brought a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,1,dog,bring
76,Joseph didn't bring a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,0,dog,bring
77,Joseph brought a dog ||| . It  ||| liked to swim in lakes.,negation,1,1,dog,bring
77,Joseph didn't bring a dog ||| . It  ||| liked to swim in lakes.,negation,1,0,dog,bring
78,Thomas brought a dog ||| . The dog  ||| loved cheese.,negation,0,1,dog,bring
78,Thomas didn't bring a dog ||| . The dog  ||| loved cheese.,negation,0,0,dog,bring
79,Thomas brought a dog ||| . It  ||| loved cheese.,negation,1,1,dog,bring
79,Thomas didn't bring a dog ||| . It  ||| loved cheese.,negation,1,0,dog,bring
80,Michael got a dog ||| . The dog  ||| had a long tail.,negation,0,1,dog,get
80,Michael didn't get a dog ||| . The dog  ||| had a long tail.,negation,0,0,dog,get
81,Michael got a dog ||| . It  ||| had a long tail.,negation,1,1,dog,get
81,Michael didn't get a dog ||| . It  ||| had a long tail.,negation,1,0,dog,get
82,Linda got a dog ||| . The dog  ||| had a red collar.,negation,0,1,dog,get
82,Linda didn't get a dog ||| . The dog  ||| had a red collar.,negation,0,0,dog,get
83,Linda got a dog ||| . It  ||| had a red collar.,negation,1,1,dog,get
83,Linda didn't get a dog ||| . It  ||| had a red collar.,negation,1,0,dog,get
84,Bill got a dog ||| . The dog  ||| had a blind eye.,negation,0,1,dog,get
84,Bill didn't get a dog ||| . The dog  ||| had a blind eye.,negation,0,0,dog,get
85,Bill got a dog ||| . It  ||| had a blind eye.,negation,1,1,dog,get
85,Bill didn't get a dog ||| . It  ||| had a blind eye.,negation,1,0,dog,get
86,James got a dog ||| . The dog  ||| had a shrill voice.,negation,0,1,dog,get
86,James didn't get a dog ||| . The dog  ||| had a shrill voice.,negation,0,0,dog,get
87,James got a dog ||| . It  ||| had a shrill voice.,negation,1,1,dog,get
87,James didn't get a dog ||| . It  ||| had a shrill voice.,negation,1,0,dog,get
88,Mary got a dog ||| . The dog  ||| had a colorful back.,negation,0,1,dog,get
88,Mary didn't get a dog ||| . The dog  ||| had a colorful back.,negation,0,0,dog,get
89,Mary got a dog ||| . It  ||| had a colorful back.,negation,1,1,dog,get
89,Mary didn't get a dog ||| . It  ||| had a colorful back.,negation,1,0,dog,get
90,John got a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,get
90,John didn't get a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,get
91,John got a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,1,dog,get
91,John didn't get a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,0,dog,get
92,Bob got a dog ||| . The dog  ||| preferred fish over other food.,negation,0,1,dog,get
92,Bob didn't get a dog ||| . The dog  ||| preferred fish over other food.,negation,0,0,dog,get
93,Bob got a dog ||| . It  ||| preferred fish over other food.,negation,1,1,dog,get
93,Bob didn't get a dog ||| . It  ||| preferred fish over other food.,negation,1,0,dog,get
94,Barbara got a dog ||| . The dog  ||| was called Fido.,negation,0,1,dog,get
94,Barbara didn't get a dog ||| . The dog  ||| was called Fido.,negation,0,0,dog,get
95,Barbara got a dog ||| . It  ||| was called Fido.,negation,1,1,dog,get
95,Barbara didn't get a dog ||| . It  ||| was called Fido.,negation,1,0,dog,get
96,Nancy got a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,1,dog,get
96,Nancy didn't get a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,0,dog,get
97,Nancy got a dog ||| . It  ||| liked to swim in lakes.,negation,1,1,dog,get
97,Nancy didn't get a dog ||| . It  ||| liked to swim in lakes.,negation,1,0,dog,get
98,David got a dog ||| . The dog  ||| loved cheese.,negation,0,1,dog,get
98,David didn't get a dog ||| . The dog  ||| loved cheese.,negation,0,0,dog,get
99,David got a dog ||| . It  ||| loved cheese.,negation,1,1,dog,get
99,David didn't get a dog ||| . It  ||| loved cheese.,negation,1,0,dog,get
100,Elizabeth bought a dog ||| . The dog  ||| had a long tail.,negation,0,1,dog,buy
100,Elizabeth didn't buy a dog ||| . The dog  ||| had a long tail.,negation,0,0,dog,buy
101,Elizabeth bought a dog ||| . It  ||| had a long tail.,negation,1,1,dog,buy
101,Elizabeth didn't buy a dog ||| . It  ||| had a long tail.,negation,1,0,dog,buy
102,Richard bought a dog ||| . The dog  ||| had a red collar.,negation,0,1,dog,buy
102,Richard didn't buy a dog ||| . The dog  ||| had a red collar.,negation,0,0,dog,buy
103,Richard bought a dog ||| . It  ||| had a red collar.,negation,1,1,dog,buy
103,Richard didn't buy a dog ||| . It  ||| had a red collar.,negation,1,0,dog,buy
104,Nancy bought a dog ||| . The dog  ||| had a blind eye.,negation,0,1,dog,buy
104,Nancy didn't buy a dog ||| . The dog  ||| had a blind eye.,negation,0,0,dog,buy
105,Nancy bought a dog ||| . It  ||| had a blind eye.,negation,1,1,dog,buy
105,Nancy didn't buy a dog ||| . It  ||| had a blind eye.,negation,1,0,dog,buy
106,Michael bought a dog ||| . The dog  ||| had a shrill voice.,negation,0,1,dog,buy
106,Michael didn't buy a dog ||| . The dog  ||| had a shrill voice.,negation,0,0,dog,buy
107,Michael bought a dog ||| . It  ||| had a shrill voice.,negation,1,1,dog,buy
107,Michael didn't buy a dog ||| . It  ||| had a shrill voice.,negation,1,0,dog,buy
108,Barbara bought a dog ||| . The dog  ||| had a colorful back.,negation,0,1,dog,buy
108,Barbara didn't buy a dog ||| . The dog  ||| had a colorful back.,negation,0,0,dog,buy
109,Barbara bought a dog ||| . It  ||| had a colorful back.,negation,1,1,dog,buy
109,Barbara didn't buy a dog ||| . It  ||| had a colorful back.,negation,1,0,dog,buy
110,Barbara bought a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,buy
110,Barbara didn't buy a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,buy
111,Barbara bought a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,1,dog,buy
111,Barbara didn't buy a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,0,dog,buy
112,Susan bought a dog ||| . The dog  ||| preferred fish over other food.,negation,0,1,dog,buy
112,Susan didn't buy a dog ||| . The dog  ||| preferred fish over other food.,negation,0,0,dog,buy
113,Susan bought a dog ||| . It  ||| preferred fish over other food.,negation,1,1,dog,buy
113,Susan didn't buy a dog ||| . It  ||| preferred fish over other food.,negation,1,0,dog,buy
114,Nancy bought a dog ||| . The dog  ||| was called Fido.,negation,0,1,dog,buy
114,Nancy didn't buy a dog ||| . The dog  ||| was called Fido.,negation,0,0,dog,buy
115,Nancy bought a dog ||| . It  ||| was called Fido.,negation,1,1,dog,buy
115,Nancy didn't buy a dog ||| . It  ||| was called Fido.,negation,1,0,dog,buy
116,James bought a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,1,dog,buy
116,James didn't buy a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,0,dog,buy
117,James bought a dog ||| . It  ||| liked to swim in lakes.,negation,1,1,dog,buy
117,James didn't buy a dog ||| . It  ||| liked to swim in lakes.,negation,1,0,dog,buy
118,Linda bought a dog ||| . The dog  ||| loved cheese.,negation,0,1,dog,buy
118,Linda didn't buy a dog ||| . The dog  ||| loved cheese.,negation,0,0,dog,buy
119,Linda bought a dog ||| . It  ||| loved cheese.,negation,1,1,dog,buy
119,Linda didn't buy a dog ||| . It  ||| loved cheese.,negation,1,0,dog,buy
120,Jennifer mentioned a dog ||| . The dog  ||| had a long tail.,negation,0,1,dog,mention
120,Jennifer didn't mention a dog ||| . The dog  ||| had a long tail.,negation,0,0,dog,mention
121,Jennifer mentioned a dog ||| . It  ||| had a long tail.,negation,1,1,dog,mention
121,Jennifer didn't mention a dog ||| . It  ||| had a long tail.,negation,1,0,dog,mention
122,Richard mentioned a dog ||| . The dog  ||| had a red collar.,negation,0,1,dog,mention
122,Richard didn't mention a dog ||| . The dog  ||| had a red collar.,negation,0,0,dog,mention
123,Richard mentioned a dog ||| . It  ||| had a red collar.,negation,1,1,dog,mention
123,Richard didn't mention a dog ||| . It  ||| had a red collar.,negation,1,0,dog,mention
124,Michael mentioned a dog ||| . The dog  ||| had a blind eye.,negation,0,1,dog,mention
124,Michael didn't mention a dog ||| . The dog  ||| had a blind eye.,negation,0,0,dog,mention
125,Michael mentioned a dog ||| . It  ||| had a blind eye.,negation,1,1,dog,mention
125,Michael didn't mention a dog ||| . It  ||| had a blind eye.,negation,1,0,dog,mention
126,Chris mentioned a dog ||| . The dog  ||| had a shrill voice.,negation,0,1,dog,mention
126,Chris didn't mention a dog ||| . The dog  ||| had a shrill voice.,negation,0,0,dog,mention
127,Chris mentioned a dog ||| . It  ||| had a shrill voice.,negation,1,1,dog,mention
127,Chris didn't mention a dog ||| . It  ||| had a shrill voice.,negation,1,0,dog,mention
128,Chris mentioned a dog ||| . The dog  ||| had a colorful back.,negation,0,1,dog,mention
128,Chris didn't mention a dog ||| . The dog  ||| had a colorful back.,negation,0,0,dog,mention
129,Chris mentioned a dog ||| . It  ||| had a colorful back.,negation,1,1,dog,mention
129,Chris didn't mention a dog ||| . It  ||| had a colorful back.,negation,1,0,dog,mention
130,John mentioned a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,mention
130,John didn't mention a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,mention
131,John mentioned a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,1,dog,mention
131,John didn't mention a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,0,dog,mention
132,Jessica mentioned a dog ||| . The dog  ||| preferred fish over other food.,negation,0,1,dog,mention
132,Jessica didn't mention a dog ||| . The dog  ||| preferred fish over other food.,negation,0,0,dog,mention
133,Jessica mentioned a dog ||| . It  ||| preferred fish over other food.,negation,1,1,dog,mention
133,Jessica didn't mention a dog ||| . It  ||| preferred fish over other food.,negation,1,0,dog,mention
134,Sarah mentioned a dog ||| . The dog  ||| was called Fido.,negation,0,1,dog,mention
134,Sarah didn't mention a dog ||| . The dog  ||| was called Fido.,negation,0,0,dog,mention
135,Sarah mentioned a dog ||| . It  ||| was called Fido.,negation,1,1,dog,mention
135,Sarah didn't mention a dog ||| . It  ||| was called Fido.,negation,1,0,dog,mention
136,Barbara mentioned a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,1,dog,mention
136,Barbara didn't mention a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,0,dog,mention
137,Barbara mentioned a dog ||| . It  ||| liked to swim in lakes.,negation,1,1,dog,mention
137,Barbara didn't mention a dog ||| . It  ||| liked to swim in lakes.,negation,1,0,dog,mention
138,John mentioned a dog ||| . The dog  ||| loved cheese.,negation,0,1,dog,mention
138,John didn't mention a dog ||| . The dog  ||| loved cheese.,negation,0,0,dog,mention
139,John mentioned a dog ||| . It  ||| loved cheese.,negation,1,1,dog,mention
139,John didn't mention a dog ||| . It  ||| loved cheese.,negation,1,0,dog,mention
140,Karen visited a dog ||| . The dog  ||| had a long tail.,negation,0,1,dog,visit
140,Karen didn't visit a dog ||| . The dog  ||| had a long tail.,negation,0,0,dog,visit
141,Karen visited a dog ||| . It  ||| had a long tail.,negation,1,1,dog,visit
141,Karen didn't visit a dog ||| . It  ||| had a long tail.,negation,1,0,dog,visit
142,James visited a dog ||| . The dog  ||| had a red collar.,negation,0,1,dog,visit
142,James didn't visit a dog ||| . The dog  ||| had a red collar.,negation,0,0,dog,visit
143,James visited a dog ||| . It  ||| had a red collar.,negation,1,1,dog,visit
143,James didn't visit a dog ||| . It  ||| had a red collar.,negation,1,0,dog,visit
144,Barbara visited a dog ||| . The dog  ||| had a blind eye.,negation,0,1,dog,visit
144,Barbara didn't visit a dog ||| . The dog  ||| had a blind eye.,negation,0,0,dog,visit
145,Barbara visited a dog ||| . It  ||| had a blind eye.,negation,1,1,dog,visit
145,Barbara didn't visit a dog ||| . It  ||| had a blind eye.,negation,1,0,dog,visit
146,Richard visited a dog ||| . The dog  ||| had a shrill voice.,negation,0,1,dog,visit
146,Richard didn't visit a dog ||| . The dog  ||| had a shrill voice.,negation,0,0,dog,visit
147,Richard visited a dog ||| . It  ||| had a shrill voice.,negation,1,1,dog,visit
147,Richard didn't visit a dog ||| . It  ||| had a shrill voice.,negation,1,0,dog,visit
148,David visited a dog ||| . The dog  ||| had a colorful back.,negation,0,1,dog,visit
148,David didn't visit a dog ||| . The dog  ||| had a colorful back.,negation,0,0,dog,visit
149,David visited a dog ||| . It  ||| had a colorful back.,negation,1,1,dog,visit
149,David didn't visit a dog ||| . It  ||| had a colorful back.,negation,1,0,dog,visit
150,Jennifer visited a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,visit
150,Jennifer didn't visit a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,visit
151,Jennifer visited a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,1,dog,visit
151,Jennifer didn't visit a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,0,dog,visit
152,David visited a dog ||| . The dog  ||| preferred fish over other food.,negation,0,1,dog,visit
152,David didn't visit a dog ||| . The dog  ||| preferred fish over other food.,negation,0,0,dog,visit
153,David visited a dog ||| . It  ||| preferred fish over other food.,negation,1,1,dog,visit
153,David didn't visit a dog ||| . It  ||| preferred fish over other food.,negation,1,0,dog,visit
154,James visited a dog ||| . The dog  ||| was called Fido.,negation,0,1,dog,visit
154,James didn't visit a dog ||| . The dog  ||| was called Fido.,negation,0,0,dog,visit
155,James visited a dog ||| . It  ||| was called Fido.,negation,1,1,dog,visit
155,James didn't visit a dog ||| . It  ||| was called Fido.,negation,1,0,dog,visit
156,Sarah visited a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,1,dog,visit
156,Sarah didn't visit a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,0,dog,visit
157,Sarah visited a dog ||| . It  ||| liked to swim in lakes.,negation,1,1,dog,visit
157,Sarah didn't visit a dog ||| . It  ||| liked to swim in lakes.,negation,1,0,dog,visit
158,John visited a dog ||| . The dog  ||| loved cheese.,negation,0,1,dog,visit
158,John didn't visit a dog ||| . The dog  ||| loved cheese.,negation,0,0,dog,visit
159,John visited a dog ||| . It  ||| loved cheese.,negation,1,1,dog,visit
159,John didn't visit a dog ||| . It  ||| loved cheese.,negation,1,0,dog,visit
160,Jennifer met a dog ||| . The dog  ||| had a long tail.,negation,0,1,dog,meet
160,Jennifer didn't meet a dog ||| . The dog  ||| had a long tail.,negation,0,0,dog,meet
161,Jennifer met a dog ||| . It  ||| had a long tail.,negation,1,1,dog,meet
