pair_id,sentence,type,pronoun,preferred,noun,verb
0,Michael owned a dog |||  and the dog  ||| had a long tail.,negation,0,1,dog,own
27,Bill saw a dog |||  and it  ||| had a shrill voice.,negation,1,1,dog,see
27,Bill didn't see a dog |||  and it  ||| had a shrill voice.,negation,1,0,dog,see
28,Mary saw a dog |||  and the dog  ||| had a colorful back.,negation,0,1,dog,see
28,Mary didn't see a dog |||  and the dog  ||| had a colorful back.,negation,0,0,dog,see
29,Mary saw a dog |||  and it  ||| had a colorful back.,negation,1,1,dog,see
29,Mary didn't see a dog |||  and it  ||| had a colorful back.,negation,1,0,dog,see
30,Michael saw a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,see
30,Michael didn't see a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,see
31,Michael saw a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,see
31,Michael didn't see a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,see
32,Barbara saw a dog |||  and the dog  ||| preferred fish over other food.,negation,0,1,dog,see
32,Barbara didn't see a dog |||  and the dog  ||| preferred fish over other food.,negation,0,0,dog,see
33,Barbara saw a dog |||  and it  ||| preferred fish over other food.,negation,1,1,dog,see
33,Barbara didn't see a dog |||  and it  ||| preferred fish over other food.,negation,1,0,dog,see
34,Nancy saw a dog |||  and the dog  ||| was called Fido.,negation,0,1,dog,see
34,Nancy didn't see a dog |||  and the dog  ||| was called Fido.,negation,0,0,dog,see
35,Nancy saw a dog |||  and it  ||| was called Fido.,negation,1,1,dog,see
35,Nancy didn't see a dog |||  and it  ||| was called Fido.,negation,1,0,dog,see
36,Elizabeth saw a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,1,dog,see
36,Elizabeth didn't see a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,0,dog,see
37,Elizabeth saw a dog |||  and it  ||| liked to swim in lakes.,negation,1,1,dog,see
37,Elizabeth didn't see a dog |||  and it  ||| liked to swim in lakes.,negation,1,0,dog,see
38,Bill saw a dog |||  and the dog  ||| loved cheese.,negation,0,1,dog,see
38,Bill didn't see a dog |||  and the dog  ||| loved cheese.,negation,0,0,dog,see
39,Bill saw a dog |||  and it  ||| loved cheese.,negation,1,1,dog,see
39,Bill didn't see a dog |||  and it  ||| loved cheese.,negation,1,0,dog,see
40,Elizabeth kicked a dog |||  and the dog  ||| had a long tail.,negation,0,1,dog,kick
40,Elizabeth didn't kick a dog |||  and the dog  ||| had a long tail.,negation,0,0,dog,kick
41,Elizabeth kicked a dog |||  and it  ||| had a long tail.,negation,1,1,dog,kick
41,Elizabeth didn't kick a dog |||  and it  ||| had a long tail.,negation,1,0,dog,kick
42,Bob kicked a dog |||  and the dog  ||| had a red collar.,negation,0,1,dog,kick
42,Bob didn't kick a dog |||  and the dog  ||| had a red collar.,negation,0,0,dog,kick
43,Bob kicked a dog |||  and it  ||| had a red collar.,negation,1,1,dog,kick
43,Bob didn't kick a dog |||  and it  ||| had a red collar.,negation,1,0,dog,kick
44,Mary kicked a dog |||  and the dog  ||| had a blind eye.,negation,0,1,dog,kick
44,Mary didn't kick a dog |||  and the dog  ||| had a blind eye.,negation,0,0,dog,kick
45,Mary kicked a dog |||  and it  ||| had a blind eye.,negation,1,1,dog,kick
45,Mary didn't kick a dog |||  and it  ||| had a blind eye.,negation,1,0,dog,kick
46,Sarah kicked a dog |||  and the dog  ||| had a shrill voice.,negation,0,1,dog,kick
46,Sarah didn't kick a dog |||  and the dog  ||| had a shrill voice.,negation,0,0,dog,kick
47,Sarah kicked a dog |||  and it  ||| had a shrill voice.,negation,1,1,dog,kick
47,Sarah didn't kick a dog |||  and it  ||| had a shrill voice.,negation,1,0,dog,kick
48,Joseph kicked a dog |||  and the dog  ||| had a colorful back.,negation,0,1,dog,kick
48,Joseph didn't kick a dog |||  and the dog  ||| had a colorful back.,negation,0,0,dog,kick
49,Joseph kicked a dog |||  and it  ||| had a colorful back.,negation,1,1,dog,kick
49,Joseph didn't kick a dog |||  and it  ||| had a colorful back.,negation,1,0,dog,kick
50,Susan kicked a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,kick
50,Susan didn't kick a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,kick
51,Susan kicked a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,kick
51,Susan didn't kick a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,kick
52,Nancy kicked a dog |||  and the dog  ||| preferred fish over other food.,negation,0,1,dog,kick
52,Nancy didn't kick a dog |||  and the dog  ||| preferred fish over other food.,negation,0,0,dog,kick
53,Nancy kicked a dog |||  and it  ||| preferred fish over other food.,negation,1,1,dog,kick
53,Nancy didn't kick a dog |||  and it  ||| preferred fish over other food.,negation,1,0,dog,kick
54,Chris kicked a dog |||  and the dog  ||| was called Fido.,negation,0,1,dog,kick
54,Chris didn't kick a dog |||  and the dog  ||| was called Fido.,negation,0,0,dog,kick
55,Chris kicked a dog |||  and it  ||| was called Fido.,negation,1,1,dog,kick
55,Chris didn't kick a dog |||  and it  ||| was called Fido.,negation,1,0,dog,kick
56,Mary kicked a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,1,dog,kick
56,Mary didn't kick a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,0,dog,kick
57,Mary kicked a dog |||  and it  ||| liked to swim in lakes.,negation,1,1,dog,kick
57,Mary didn't kick a dog |||  and it  ||| liked to swim in lakes.,negation,1,0,dog,kick
58,Barbara kicked a dog |||  and the dog  ||| loved cheese.,negation,0,1,dog,kick
58,Barbara didn't kick a dog |||  and the dog  ||| loved cheese.,negation,0,0,dog,kick
59,Barbara kicked a dog |||  and it  ||| loved cheese.,negation,1,1,dog,kick
59,Barbara didn't kick a dog |||  and it  ||| loved cheese.,negation,1,0,dog,kick
60,Linda brought a dog |||  and the dog  ||| had a long tail.,negation,0,1,dog,bring
60,Linda didn't bring a dog |||  and the dog  ||| had a long tail.,negation,0,0,dog,bring
61,Linda brought a dog |||  and it  ||| had a long tail.,negation,1,1,dog,bring
61,Linda didn't bring a dog |||  and it  ||| had a long tail.,negation,1,0,dog,bring
62,Richard brought a dog |||  and the dog  ||| had a red collar.,negation,0,1,dog,bring
62,Richard didn't bring a dog |||  and the dog  ||| had a red collar.,negation,0,0,dog,bring
63,Richard brought a dog |||  and it  ||| had a red collar.,negation,1,1,dog,bring
63,Richard didn't bring a dog |||  and it  ||| had a red collar.,negation,1,0,dog,bring
64,Jennifer brought a dog |||  and the dog  ||| had a blind eye.,negation,0,1,dog,bring
64,Jennifer didn't bring a dog |||  and the dog  ||| had a blind eye.,negation,0,0,dog,bring
65,Jennifer brought a dog |||  and it  ||| had a blind eye.,negation,1,1,dog,bring
65,Jennifer didn't bring a dog |||  and it  ||| had a blind eye.,negation,1,0,dog,bring
66,Susan brought a dog |||  and the dog  ||| had a shrill voice.,negation,0,1,dog,bring
66,Susan didn't bring a dog |||  and the dog  ||| had a shrill voice.,negation,0,0,dog,bring
67,Susan brought a dog |||  and it  ||| had a shrill voice.,negation,1,1,dog,bring
67,Susan didn't bring a dog |||  and it  ||| had a shrill voice.,negation,1,0,dog,bring
68,Jessica brought a dog |||  and the dog  ||| had a colorful back.,negation,0,1,dog,bring
68,Jessica didn't bring a dog |||  and the dog  ||| had a colorful back.,negation,0,0,dog,bring
69,Jessica brought a dog |||  and it  ||| had a colorful back.,negation,1,1,dog,bring
69,Jessica didn't bring a dog |||  and it  ||| had a colorful back.,negation,1,0,dog,bring
70,Susan brought a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,bring
70,Susan didn't bring a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,bring
71,Susan brought a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,bring
71,Susan didn't bring a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,bring
72,Bob brought a dog |||  and the dog  ||| preferred fish over other food.,negation,0,1,dog,bring
72,Bob didn't bring a dog |||  and the dog  ||| preferred fish over other food.,negation,0,0,dog,bring
73,Bob brought a dog |||  and it  ||| preferred fish over other food.,negation,1,1,dog,bring
73,Bob didn't bring a dog |||  and it  ||| preferred fish over other food.,negation,1,0,dog,bring
74,Nancy brought a dog |||  and the dog  ||| was called Fido.,negation,0,1,dog,bring
74,Nancy didn't bring a dog |||  and the dog  ||| was called Fido.,negation,0,0,dog,bring
75,Nancy brought a dog |||  and it  ||| was called Fido.,negation,1,1,dog,bring
75,Nancy didn't bring a dog |||  and it  ||| was called Fido.,negation,1,0,dog,bring
76,Linda brought a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,1,dog,bring
76,Linda didn't bring a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,0,dog,bring
77,Linda brought a dog |||  and it  ||| liked to swim in lakes.,negation,1,1,dog,bring
77,Linda didn't bring a dog |||  and it  ||| liked to swim in lakes.,negation,1,0,dog,bring
78,Bill brought a dog |||  and the dog  ||| loved cheese.,negation,0,1,dog,bring
78,Bill didn't bring a dog |||  and the dog  ||| loved cheese.,negation,0,0,dog,bring
79,Bill brought a dog |||  and it  ||| loved cheese.,negation,1,1,dog,bring
79,Bill didn't bring a dog |||  and it  ||| loved cheese.,negation,1,0,dog,bring
80,Nancy got a dog |||  and the dog  ||| had a long tail.,negation,0,1,dog,get
80,Nancy didn't get a dog |||  and the dog  ||| had a long tail.,negation,0,0,dog,get
81,Nancy got a dog |||  and it  ||| had a long tail.,negation,1,1,dog,get
81,Nancy didn't get a dog |||  and it  ||| had a long tail.,negation,1,0,dog,get
82,Bill got a dog |||  and the dog  ||| had a red collar.,negation,0,1,dog,get
82,Bill didn't get a dog |||  and the dog  ||| had a red collar.,negation,0,0,dog,get
83,Bill got a dog |||  and it  ||| had a red collar.,negation,1,1,dog,get
83,Bill didn't get a dog |||  and it  ||| had a red collar.,negation,1,0,dog,get
84,Thomas got a dog |||  and the dog  ||| had a blind eye.,negation,0,1,dog,get
84,Thomas didn't get a dog |||  and the dog  ||| had a blind eye.,negation,0,0,dog,get
85,Thomas got a dog |||  and it  ||| had a blind eye.,negation,1,1,dog,get
85,Thomas didn't get a dog |||  and it  ||| had a blind eye.,negation,1,0,dog,get
86,David got a dog |||  and the dog  ||| had a shrill voice.,negation,0,1,dog,get
86,David didn't get a dog |||  and the dog  ||| had a shrill voice.,negation,0,0,dog,get
87,David got a dog |||  and it  ||| had a shrill voice.,negation,1,1,dog,get
87,David didn't get a dog |||  and it  ||| had a shrill voice.,negation,1,0,dog,get
88,David got a dog |||  and the dog  ||| had a colorful back.,negation,0,1,dog,get
88,David didn't get a dog |||  and the dog  ||| had a colorful back.,negation,0,0,dog,get
89,David got a dog |||  and it  ||| had a colorful back.,negation,1,1,dog,get
89,David didn't get a dog |||  and it  ||| had a colorful back.,negation,1,0,dog,get
90,Mary got a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,get
90,Mary didn't get a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,get
91,Mary got a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,get
91,Mary didn't get a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,get
92,Thomas got a dog |||  and the dog  ||| preferred fish over other food.,negation,0,1,dog,get
92,Thomas didn't get a dog |||  and the dog  ||| preferred fish over other food.,negation,0,0,dog,get
93,Thomas got a dog |||  and it  ||| preferred fish over other food.,negation,1,1,dog,get
93,Thomas didn't get a dog |||  and it  ||| preferred fish over other food.,negation,1,0,dog,get
94,Bob got a dog |||  and the dog  ||| was called Fido.,negation,0,1,dog,get
94,Bob didn't get a dog |||  and the dog  ||| was called Fido.,negation,0,0,dog,get
95,Bob got a dog |||  and it  ||| was called Fido.,negation,1,1,dog,get
95,Bob didn't get a dog |||  and it  ||| was called Fido.,negation,1,0,dog,get
96,Chris got a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,1,dog,get
96,Chris didn't get a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,0,dog,get
97,Chris got a dog |||  and it  ||| liked to swim in lakes.,negation,1,1,dog,get
97,Chris didn't get a dog |||  and it  ||| liked to swim in lakes.,negation,1,0,dog,get
98,John got a dog |||  and the dog  ||| loved cheese.,negation,0,1,dog,get
98,John didn't get a dog |||  and the dog  ||| loved cheese.,negation,0,0,dog,get
99,John got a dog |||  and it  ||| loved cheese.,negation,1,1,dog,get
99,John didn't get a dog |||  and it  ||| loved cheese.,negation,1,0,dog,get
100,Linda bought a dog |||  and the dog  ||| had a long tail.,negation,0,1,dog,buy
100,Linda didn't buy a dog |||  and the dog  ||| had a long tail.,negation,0,0,dog,buy
101,Linda bought a dog |||  and it  ||| had a long tail.,negation,1,1,dog,buy
101,Linda didn't buy a dog |||  and it  ||| had a long tail.,negation,1,0,dog,buy
102,Nancy bought a dog |||  and the dog  ||| had a red collar.,negation,0,1,dog,buy
102,Nancy didn't buy a dog |||  and the dog  ||| had a red collar.,negation,0,0,dog,buy
103,Nancy bought a dog |||  and it  ||| had a red collar.,negation,1,1,dog,buy
103,Nancy didn't buy a dog |||  and it  ||| had a red collar.,negation,1,0,dog,buy
104,Michael bought a dog |||  and the dog  ||| had a blind eye.,negation,0,1,dog,buy
104,Michael didn't buy a dog |||  and the dog  ||| had a blind eye.,negation,0,0,dog,buy
105,Michael bought a dog |||  and it  ||| had a blind eye.,negation,1,1,dog,buy
105,Michael didn't buy a dog |||  and it  ||| had a blind eye.,negation,1,0,dog,buy
106,Michael bought a dog |||  and the dog  ||| had a shrill voice.,negation,0,1,dog,buy
106,Michael didn't buy a dog |||  and the dog  ||| had a shrill voice.,negation,0,0,dog,buy
107,Michael bought a dog |||  and it  ||| had a shrill voice.,negation,1,1,dog,buy
107,Michael didn't buy a dog |||  and it  ||| had a shrill voice.,negation,1,0,dog,buy
108,Jennifer bought a dog |||  and the dog  ||| had a colorful back.,negation,0,1,dog,buy
108,Jennifer didn't buy a dog |||  and the dog  ||| had a colorful back.,negation,0,0,dog,buy
109,Jennifer bought a dog |||  and it  ||| had a colorful back.,negation,1,1,dog,buy
109,Jennifer didn't buy a dog |||  and it  ||| had a colorful back.,negation,1,0,dog,buy
110,Elizabeth bought a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,buy
110,Elizabeth didn't buy a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,buy
111,Elizabeth bought a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,buy
111,Elizabeth didn't buy a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,buy
112,John bought a dog |||  and the dog  ||| preferred fish over other food.,negation,0,1,dog,buy
112,John didn't buy a dog |||  and the dog  ||| preferred fish over other food.,negation,0,0,dog,buy
113,John bought a dog |||  and it  ||| preferred fish over other food.,negation,1,1,dog,buy
113,John didn't buy a dog |||  and it  ||| preferred fish over other food.,negation,1,0,dog,buy
114,Joseph bought a dog |||  and the dog  ||| was called Fido.,negation,0,1,dog,buy
114,Joseph didn't buy a dog |||  and the dog  ||| was called Fido.,negation,0,0,dog,buy
115,Joseph bought a dog |||  and it  ||| was called Fido.,negation,1,1,dog,buy
115,Joseph didn't buy a dog |||  and it  ||| was called Fido.,negation,1,0,dog,buy
116,David bought a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,1,dog,buy
116,David didn't buy a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,0,dog,buy
117,David bought a dog |||  and it  ||| liked to swim in lakes.,negation,1,1,dog,buy
117,David didn't buy a dog |||  and it  ||| liked to swim in lakes.,negation,1,0,dog,buy
118,Linda bought a dog |||  and the dog  ||| loved cheese.,negation,0,1,dog,buy
118,Linda didn't buy a dog |||  and the dog  ||| loved cheese.,negation,0,0,dog,buy
119,Linda bought a dog |||  and it  ||| loved cheese.,negation,1,1,dog,buy
119,Linda didn't buy a dog |||  and it  ||| loved cheese.,negation,1,0,dog,buy
120,Bill mentioned a dog |||  and the dog  ||| had a long tail.,negation,0,1,dog,mention
120,Bill didn't mention a dog |||  and the dog  ||| had a long tail.,negation,0,0,dog,mention
121,Bill mentioned a dog |||  and it  ||| had a long tail.,negation,1,1,dog,mention
121,Bill didn't mention a dog |||  and it  ||| had a long tail.,negation,1,0,dog,mention
122,John mentioned a dog |||  and the dog  ||| had a red collar.,negation,0,1,dog,mention
122,John didn't mention a dog |||  and the dog  ||| had a red collar.,negation,0,0,dog,mention
123,John mentioned a dog |||  and it  ||| had a red collar.,negation,1,1,dog,mention
123,John didn't mention a dog |||  and it  ||| had a red collar.,negation,1,0,dog,mention
124,Jessica mentioned a dog |||  and the dog  ||| had a blind eye.,negation,0,1,dog,mention
124,Jessica didn't mention a dog |||  and the dog  ||| had a blind eye.,negation,0,0,dog,mention
125,Jessica mentioned a dog |||  and it  ||| had a blind eye.,negation,1,1,dog,mention
125,Jessica didn't mention a dog |||  and it  ||| had a blind eye.,negation,1,0,dog,mention
126,David mentioned a dog |||  and the dog  ||| had a shrill voice.,negation,0,1,dog,mention
126,David didn't mention a dog |||  and the dog  ||| had a shrill voice.,negation,0,0,dog,mention
127,David mentioned a dog |||  and it  ||| had a shrill voice.,negation,1,1,dog,mention
127,David didn't mention a dog |||  and it  ||| had a shrill voice.,negation,1,0,dog,mention
128,Karen mentioned a dog |||  and the dog  ||| had a colorful back.,negation,0,1,dog,mention
128,Karen didn't mention a dog |||  and the dog  ||| had a colorful back.,negation,0,0,dog,mention
129,Karen mentioned a dog |||  and it  ||| had a colorful back.,negation,1,1,dog,mention
129,Karen didn't mention a dog |||  and it  ||| had a colorful back.,negation,1,0,dog,mention
130,Bill mentioned a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,mention
130,Bill didn't mention a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,mention
131,Bill mentioned a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,mention
131,Bill didn't mention a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,mention
132,Karen mentioned a dog |||  and the dog  ||| preferred fish over other food.,negation,0,1,dog,mention
132,Karen didn't mention a dog |||  and the dog  ||| preferred fish over other food.,negation,0,0,dog,mention
133,Karen mentioned a dog |||  and it  ||| preferred fish over other food.,negation,1,1,dog,mention
133,Karen didn't mention a dog |||  and it  ||| preferred fish over other food.,negation,1,0,dog,mention
134,David mentioned a dog |||  and the dog  ||| was called Fido.,negation,0,1,dog,mention
134,David didn't mention a dog |||  and the dog  ||| was called Fido.,negation,0,0,dog,mention
135,David mentioned a dog |||  and it  ||| was called Fido.,negation,1,1,dog,mention
135,David didn't mention a dog |||  and it  ||| was called Fido.,negation,1,0,dog,mention
136,Susan mentioned a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,1,dog,mention
136,Susan didn't mention a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,0,dog,mention
137,Susan mentioned a dog |||  and it  ||| liked to swim in lakes.,negation,1,1,dog,mention
137,Susan didn't mention a dog |||  and it  ||| liked to swim in lakes.,negation,1,0,dog,mention
138,Karen mentioned a dog |||  and the dog  ||| loved cheese.,negation,0,1,dog,mention
138,Karen didn't mention a dog |||  and the dog  ||| loved cheese.,negation,0,0,dog,mention
139,Karen mentioned a dog |||  and it  ||| loved cheese.,negation,1,1,dog,mention
139,Karen didn't mention a dog |||  and it  ||| loved cheese.,negation,1,0,dog,mention
140,John visited a dog |||  and the dog  ||| had a long tail.,negation,0,1,dog,visit
140,John didn't visit a dog |||  and the dog  ||| had a long tail.,negation,0,0,dog,visit
141,John visited a dog |||  and it  ||| had a long tail.,negation,1,1,dog,visit
141,John didn't visit a dog |||  and it  ||| had a long tail.,negation,1,0,dog,visit
142,Bill visited a dog |||  and the dog  ||| had a red collar.,negation,0,1,dog,visit
142,Bill didn't visit a dog |||  and the dog  ||| had a red collar.,negation,0,0,dog,visit
143,Bill visited a dog |||  and it  ||| had a red collar.,negation,1,1,dog,visit
143,Bill didn't visit a dog |||  and it  ||| had a red collar.,negation,1,0,dog,visit
144,Nancy visited a dog |||  and the dog  ||| had a blind eye.,negation,0,1,dog,visit
144,Nancy didn't visit a dog |||  and the dog  ||| had a blind eye.,negation,0,0,dog,visit
145,Nancy visited a dog |||  and it  ||| had a blind eye.,negation,1,1,dog,visit
145,Nancy didn't visit a dog |||  and it  ||| had a blind eye.,negation,1,0,dog,visit
146,Mary visited a dog |||  and the dog  ||| had a shrill voice.,negation,0,1,dog,visit
146,Mary didn't visit a dog |||  and the dog  ||| had a shrill voice.,negation,0,0,dog,visit
147,Mary visited a dog |||  and it  ||| had a shrill voice.,negation,1,1,dog,visit
147,Mary didn't visit a dog |||  and it  ||| had a shrill voice.,negation,1,0,dog,visit
148,David visited a dog |||  and the dog  ||| had a colorful back.,negation,0,1,dog,visit
148,David didn't visit a dog |||  and the dog  ||| had a colorful back.,negation,0,0,dog,visit
149,David visited a dog |||  and it  ||| had a colorful back.,negation,1,1,dog,visit
149,David didn't visit a dog |||  and it  ||| had a colorful back.,negation,1,0,dog,visit
150,David visited a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,visit
150,David didn't visit a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,visit
151,David visited a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,visit
151,David didn't visit a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,visit
152,Barbara visited a dog |||  and the dog  ||| preferred fish over other food.,negation,0,1,dog,visit
152,Barbara didn't visit a dog |||  and the dog  ||| preferred fish over other food.,negation,0,0,dog,visit
153,Barbara visited a dog |||  and it  ||| preferred fish over other food.,negation,1,1,dog,visit
153,Barbara didn't visit a dog |||  and it  ||| preferred fish over other food.,negation,1,0,dog,visit
154,Karen visited a dog |||  and the dog  ||| was called Fido.,negation,0,1,dog,visit
154,Karen didn't visit a dog |||  and the dog  ||| was called Fido.,negation,0,0,dog,visit
155,Karen visited a dog |||  and it  ||| was called Fido.,negation,1,1,dog,visit
155,Karen didn't visit a dog |||  and it  ||| was called Fido.,negation,1,0,dog,visit
156,John visited a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,1,dog,visit
156,John didn't visit a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,0,dog,visit
157,John visited a dog |||  and it  ||| liked to swim in lakes.,negation,1,1,dog,visit
157,John didn't visit a dog |||  and it  ||| liked to swim in lakes.,negation,1,0,dog,visit
158,Bob visited a dog |||  and the dog  ||| loved cheese.,negation,0,1,dog,visit
158,Bob didn't visit a dog |||  and the dog  ||| loved cheese.,negation,0,0,dog,visit
159,Bob visited a dog |||  and it  ||| loved cheese.,negation,1,1,dog,visit
159,Bob didn't visit a dog |||  and it  ||| loved cheese.,negation,1,0,dog,visit
160,Nancy met a dog |||  and the dog  ||| had a long tail.,negation,0,1,dog,meet
160,Nancy didn't meet a dog |||  and the dog  ||| had a long tail.,negation,0,0,dog,meet
161,Nancy met a dog |||  and it  ||| had a long tail.,negation,1,1,dog,meet
