workerid,proliferate.condition,alternative,correct,order,path,rt,trial_id,trial_no,word,word_idx,catch_trials,condition,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.other_language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
469,list8,cent,1,0,0,1076,practice_02,1,an,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,kid,1,0,0,1014,practice_02,1,eye,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,al,1,1,0,896,practice_02,1,on,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,else,1,0,0,974,practice_02,1,his,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,none,1,0,0,2029,practice_02,1,part,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,sell,1,1,0,862,practice_02,1,of,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,yeah,1,1,0,1184,practice_02,1,the,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,cents,1,0,0,812,practice_02,1,beach,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,sir,1,0,0,1300,practice_02,1,all,11,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,god.,1,1,0,878,practice_02,1,day.,12,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,0,0,808,practice_03,2,The,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,its,1,1,0,943,practice_03,2,new,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,awesome,1,1,0,1089,practice_03,2,student,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,nice,1,0,0,813,practice_03,2,was,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,vessels,1,0,0,1382,practice_03,2,noticed,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,miss,1,0,0,733,practice_03,2,by,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,universe,1,0,0,846,practice_03,2,everyone,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,lots,1,1,0,755,practice_03,2,when,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,jack,0,1,0,2838,practice_03,2,he,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,ways,1,0,0,868,practice_03,2,came,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,fund,1,0,0,661,practice_03,2,into,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,cent,1,0,0,617,practice_03,2,the,11,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,sent.,1,0,0,636,practice_03,2,room.,12,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,0,1,1075,16_house_affirmative,3,Lisa,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,frank,1,1,1,853,16_house_affirmative,3,built,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,lose,1,0,1,713,16_house_affirmative,3,a,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,knows,1,0,1,766,16_house_affirmative,3,house,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,hate,1,1,1,740,16_house_affirmative,3,and,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,sir,1,1,1,714,16_house_affirmative,3,she,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,yes,1,0,1,812,16_house_affirmative,3,made,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,guy,1,0,1,1041,16_house_affirmative,3,sure,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,miss,1,0,1,621,16_house_affirmative,3,that,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,guess,1,0,1,708,16_house_affirmative,3,every,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,videos,1,1,1,723,16_house_affirmative,3,room,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,pre,1,1,1,896,16_house_affirmative,3,gets,11,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,dad,1,0,1,658,16_house_affirmative,3,a,12,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,yeah,1,0,1,760,16_house_affirmative,3,lot,13,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,lord,1,0,1,552,16_house_affirmative,3,of,14,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,diaspora.,1,1,1,700,16_house_affirmative,3,sunlight.,15,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,0,0,531,filler_03,4,The,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,investing,1,1,0,1127,filler_03,4,prisoners,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,jack,1,0,0,624,filler_03,4,were,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,exists,1,1,0,1015,filler_03,4,unable,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,gift,1,0,0,529,filler_03,4,to,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,miles,1,1,0,821,filler_03,4,cross,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,dad,1,1,0,978,filler_03,4,the,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,learn,1,0,0,740,filler_03,4,field,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,amazing,1,0,0,524,filler_03,4,without,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,sweet,1,1,0,907,filler_03,4,being,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,soul.,1,0,0,722,filler_03,4,seen.,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,0,0,484,filler_09,5,The,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,evaded,0,0,0,2238,filler_09,5,quilts,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,anti,1,1,0,833,filler_09,5,were,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,luck,1,1,0,1400,filler_09,5,sold,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,die,1,1,0,697,filler_09,5,by,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,why,1,1,0,858,filler_09,5,the,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,goes,1,1,0,2634,filler_09,5,side,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,sir,1,0,0,682,filler_09,5,of,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,yes,1,1,0,651,filler_09,5,the,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,lose,1,1,0,567,filler_09,5,road,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,hear,0,1,0,1592,filler_09,5,for,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,yeah,1,0,0,897,filler_09,5,ten,11,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,require.,1,0,0,800,filler_09,5,dollars.,12,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,0,0,921,filler_06,6,Several,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,thanksgiving,1,1,0,1083,filler_06,6,construction,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,greater,1,1,0,712,filler_06,6,workers,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,nice,1,0,0,948,filler_06,6,lost,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,funny,1,1,0,712,filler_06,6,their,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,glad,1,0,0,1387,filler_06,6,jobs,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,tree,1,0,0,530,filler_06,6,when,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,yeah,1,0,0,588,filler_06,6,the,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,suppose,1,0,0,973,filler_06,6,housing,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,latest,1,1,0,769,filler_06,6,market,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,nonsense.,1,1,0,873,filler_06,6,declined.,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,1,1,831,13_bed_negated,7,Luke,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,forget,0,1,1,1661,13_bed_negated,7,didn't,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,anti,1,0,1,770,13_bed_negated,7,buy,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,oh,1,0,1,841,13_bed_negated,7,a,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,onto,1,1,1,899,13_bed_negated,7,bed,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,sir,1,1,1,807,13_bed_negated,7,and,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,vs,1,0,1,939,13_bed_negated,7,he,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,pre,1,1,1,955,13_bed_negated,7,also,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,republic,1,1,1,1005,13_bed_negated,7,refused,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,gain,1,1,1,551,13_bed_negated,7,to,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,ago,1,1,1,683,13_bed_negated,7,get,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,hill,1,1,1,647,13_bed_negated,7,a,11,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,seem,1,1,1,972,13_bed_negated,7,new,12,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,opposes.,1,1,1,775,13_bed_negated,7,dresser.,13,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,1,1,907,10_hat_doubt,8,I,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,worse,1,1,1,567,10_hat_doubt,8,doubt,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,hall,1,1,1,650,10_hat_doubt,8,that,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,cents,1,0,1,1086,10_hat_doubt,8,Chris,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,bouquet,1,0,1,1242,10_hat_doubt,8,knitted,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,jack,1,1,1,833,10_hat_doubt,8,a,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,info.,1,0,1,661,10_hat_doubt,8,hat.,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,cell,1,1,1,1492,10_hat_doubt,8,He,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,miss,1,0,1,1448,10_hat_doubt,8,didn't,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,vs,1,0,1,572,10_hat_doubt,8,do,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,squeeze,1,0,1,632,10_hat_doubt,8,any,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,shut,1,1,1,581,10_hat_doubt,8,of,11,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,anti,1,1,1,774,10_hat_doubt,8,the,12,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,thank,1,0,1,805,10_hat_doubt,8,other,13,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,incorrectly,1,1,1,580,10_hat_doubt,8,assignments,14,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,sister.,1,1,1,955,10_hat_doubt,8,either.,15,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,0,1,0,1091,filler_01,9,The,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,unto,1,1,0,1206,filler_01,9,shoe,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,doubtful,1,0,0,1019,filler_01,9,salesman,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,poetry,1,0,0,1038,filler_01,9,looked,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,metabolites,1,0,0,1043,filler_01,9,impatiently,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,jack,1,1,0,720,filler_01,9,out,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,sir,1,0,0,649,filler_01,9,the,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,indeed,1,1,0,494,filler_01,9,window,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,apply,1,0,0,674,filler_01,9,while,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,century,1,0,0,909,filler_01,9,waiting,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,gift,1,0,0,547,filler_01,9,for,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,democrats.,1,0,0,879,filler_01,9,customers.,11,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,0,1,1468,14_gin_negated,10,Dan,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,nobody,1,1,1,821,14_gin_negated,10,didn't,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,weird,1,1,1,1191,14_gin_negated,10,drink,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,plan,1,0,1,573,14_gin_negated,10,a,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,digs,1,0,1,928,14_gin_negated,10,gin,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,greed,1,1,1,1320,14_gin_negated,10,tonic,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,guys,1,0,1,633,14_gin_negated,10,and,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,pre,1,1,1,462,14_gin_negated,10,he,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,lord,1,1,1,962,14_gin_negated,10,left,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,vote,1,1,1,1040,14_gin_negated,10,before,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,rights,1,0,1,665,14_gin_negated,10,everyone,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,huge,1,1,1,743,14_gin_negated,10,else,11,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,lady,1,0,1,651,14_gin_negated,10,was,12,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,suits.,1,1,1,709,14_gin_negated,10,drunk.,13,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,1,1,715,3_bear_failed,11,Carol,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,severe,1,1,1,607,3_bear_failed,11,failed,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,dad,1,0,1,602,3_bear_failed,11,to,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,yeah,1,1,1,687,3_bear_failed,11,see,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,vs,1,0,1,662,3_bear_failed,11,a,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,onto,0,0,1,1171,3_bear_failed,11,bear,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,pre,1,0,1,881,3_bear_failed,11,at,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,guys,1,0,1,476,3_bear_failed,11,the,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,euro.,1,1,1,865,3_bear_failed,11,zoo.,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,died,1,0,1,895,3_bear_failed,11,She,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,worry,1,1,1,1120,3_bear_failed,11,didn't,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,capita,1,1,1,840,3_bear_failed,11,get,11,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,sir,1,1,1,472,3_bear_failed,11,to,12,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,app,1,1,1,551,3_bear_failed,11,see,13,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,addition,1,1,1,704,3_bear_failed,11,any,14,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,gives,1,0,1,1031,3_bear_failed,11,other,15,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,none,1,0,1,1631,3_bear_failed,11,big,16,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,refused,1,0,1,650,3_bear_failed,11,animals,17,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,senate.,1,0,1,572,3_bear_failed,11,either.,18,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,1,1,519,12_ticket_know,12,I,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,nice,1,1,1,1103,12_ticket_know,12,know,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,cent,1,1,1,775,12_ticket_know,12,that,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,senate,1,0,1,1074,12_ticket_know,12,Thomas,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,capita,1,1,1,732,12_ticket_know,12,booked,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,glad,1,1,1,575,12_ticket_know,12,a,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,ethics,1,0,1,749,12_ticket_know,12,ticket,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,pre,1,1,1,837,12_ticket_know,12,in,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,studied.,1,0,1,626,12_ticket_know,12,advance.,8,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,cell,1,0,1,685,12_ticket_know,12,He,9,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,lot,1,1,1,817,12_ticket_know,12,also,10,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,guys,1,1,1,892,12_ticket_know,12,made,11,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
