workerid,proliferate.condition,chosen_continuation,exp_continuation,id,order,prompt,response,type,unexp_continuation,catch_trials,condition,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.other_language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1211,cond55,It's not a big deal.,It's not a big deal.,4_book_doubt,1,I doubt that Susan published a book.,exp,doubt,It is a real page-turner.,[],55,48,Yes,,2,1,.50,Male,English,,no,Chrome,Mac,768,1366,1.087883333333333,
1211,cond55,The shed has a flat roof.,The house has a flat roof. ,16_house_negation_affirmative_ref,0,Lisa didn't build a shed but she built a house.,unexp,negation_affirmative,The shed has a flat roof.,[],55,48,Yes,,2,1,.50,Male,English,,no,Chrome,Mac,768,1366,1.087883333333333,
1211,cond55,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],55,48,Yes,,2,1,.50,Male,English,,no,Chrome,Mac,768,1366,1.087883333333333,
1211,cond55,It was much cheaper than he expected.,It was much cheaper than he expected.,12_ticket_managed,0,Thomas managed to book a ticket.,exp,managed,It's not a big deal.,[],55,48,Yes,,2,1,.50,Male,English,,no,Chrome,Mac,768,1366,1.087883333333333,
1211,cond55,The dog that he liked had been adopted by someone else.,The dog that he liked had been adopted by someone else.,1_dog_doubt_know_nonref,1,I doubt that John owns a dog but I know that he owns a cat.,exp,doubt_know,The cat that he liked had been adopted by someone else.,[],55,48,Yes,,2,1,.50,Male,English,,no,Chrome,Mac,768,1366,1.087883333333333,
982,cond55,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],55,36,Yes,,4,1,1.00,Female,English,French,No,Safari,iPhone/iPod,812,375,1.4714333333333334,
982,cond55,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],55,36,Yes,,4,1,1.00,Female,English,French,No,Safari,iPhone/iPod,812,375,1.4714333333333334,
982,cond55,It was much cheaper than he expected.,It was much cheaper than he expected.,12_ticket_managed,0,Thomas managed to book a ticket.,exp,managed,It's not a big deal.,[],55,36,Yes,,4,1,1.00,Female,English,French,No,Safari,iPhone/iPod,812,375,1.4714333333333334,
982,cond55,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],55,36,Yes,,4,1,1.00,Female,English,French,No,Safari,iPhone/iPod,812,375,1.4714333333333334,
982,cond55,It's not a big deal.,It's not a big deal.,4_book_doubt,0,I doubt that Susan published a book.,exp,doubt,It is a real page-turner.,[],55,36,Yes,,4,1,1.00,Female,English,French,No,Safari,iPhone/iPod,812,375,1.4714333333333334,
982,cond55,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],55,36,Yes,,4,1,1.00,Female,English,French,No,Safari,iPhone/iPod,812,375,1.4714333333333334,
982,cond55,The house has a flat roof. ,The house has a flat roof. ,16_house_negation_affirmative_ref,1,Lisa didn't build a shed but she built a house.,exp,negation_affirmative,The shed has a flat roof.,[],55,36,Yes,,4,1,1.00,Female,English,French,No,Safari,iPhone/iPod,812,375,1.4714333333333334,
982,cond55,The dog that he liked had been adopted by someone else.,The dog that he liked had been adopted by someone else.,1_dog_doubt_know_nonref,0,I doubt that John owns a dog but I know that he owns a cat.,exp,doubt_know,The cat that he liked had been adopted by someone else.,[],55,36,Yes,,4,1,1.00,Female,English,French,No,Safari,iPhone/iPod,812,375,1.4714333333333334,
782,cond55,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],55,43,Yes,,2,2,.50,Male,English,,No,Chrome,Linux,869,412,2.04205,
782,cond55,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],55,43,Yes,,2,2,.50,Male,English,,No,Chrome,Linux,869,412,2.04205,
782,cond55,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],55,43,Yes,,2,2,.50,Male,English,,No,Chrome,Linux,869,412,2.04205,
782,cond55,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],55,43,Yes,,2,2,.50,Male,English,,No,Chrome,Linux,869,412,2.04205,
782,cond55,The dog that he liked had been adopted by someone else.,The dog that he liked had been adopted by someone else.,1_dog_doubt_know_nonref,0,I doubt that John owns a dog but I know that he owns a cat.,exp,doubt_know,The cat that he liked had been adopted by someone else.,[],55,43,Yes,,2,2,.50,Male,English,,No,Chrome,Linux,869,412,2.04205,
782,cond55,It was much cheaper than he expected.,It was much cheaper than he expected.,12_ticket_managed,1,Thomas managed to book a ticket.,exp,managed,It's not a big deal.,[],55,43,Yes,,2,2,.50,Male,English,,No,Chrome,Linux,869,412,2.04205,
782,cond55,The house has a flat roof. ,The house has a flat roof. ,16_house_negation_affirmative_ref,0,Lisa didn't build a shed but she built a house.,exp,negation_affirmative,The shed has a flat roof.,[],55,43,Yes,,2,2,.50,Male,English,,No,Chrome,Linux,869,412,2.04205,
782,cond55,It's not a big deal.,It's not a big deal.,4_book_doubt,1,I doubt that Susan published a book.,exp,doubt,It is a real page-turner.,[],55,43,Yes,,2,2,.50,Male,English,,No,Chrome,Linux,869,412,2.04205,
1264,cond90,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],90,25,Yes,,3,1,$0.50,Male,English,,,Chrome,Windows,1080,1920,1.41685,
1264,cond90,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],90,25,Yes,,3,1,$0.50,Male,English,,,Chrome,Windows,1080,1920,1.41685,
1264,cond90,and it's not a big deal.,and it's not a big deal.,6_rat_modal,1,Carla wants to get a pet rat,exp,modal,and it is very noisy at night.,[],90,25,Yes,,3,1,$0.50,Male,English,,,Chrome,Windows,1080,1920,1.41685,
1264,cond90,The bass made a great dinner.,The bass made a great dinner.,11_cod_affirmative_negation_ref,0,Sarah caught a bass but she didn't catch a cod.,exp,affirmative_negation,The cod made a great dinner.,[],90,25,Yes,,3,1,$0.50,Male,English,,,Chrome,Windows,1080,1920,1.41685,
1264,cond90,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],90,25,Yes,,3,1,$0.50,Male,English,,,Chrome,Windows,1080,1920,1.41685,
1264,cond90,and it likely belonged to an extinct bird species.,and it likely belonged to an extinct bird species.,15_bone_affirmative,0,David discovered a bone on his archeological expedition,exp,affirmative,and it's not a big deal.,[],90,25,Yes,,3,1,$0.50,Male,English,,,Chrome,Windows,1080,1920,1.41685,
1264,cond90,The pie that he was planning to make required too many ingredients.,The pie that he was planning to make required too many ingredients.,8_cake_managed_failed_nonref,0,Michael managed to bake a cake but failed to bake a pie.,exp,managed_failed,The cake that he was planning to make required too many ingredients.,[],90,25,Yes,,3,1,$0.50,Male,English,,,Chrome,Windows,1080,1920,1.41685,
1264,cond90,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],90,25,Yes,,3,1,$0.50,Male,English,,,Chrome,Windows,1080,1920,1.41685,
1177,cond90,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],90,40,Yes,,3,1,50 cents,Male,English,,no,Chrome,Mac,1080,1920,2.4972,
1177,cond90,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],90,40,Yes,,3,1,50 cents,Male,English,,no,Chrome,Mac,1080,1920,2.4972,
1177,cond90,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],90,40,Yes,,3,1,50 cents,Male,English,,no,Chrome,Mac,1080,1920,2.4972,
1177,cond90,and it's not a big deal.,and it's not a big deal.,6_rat_modal,1,Carla wants to get a pet rat,exp,modal,and it is very noisy at night.,[],90,40,Yes,,3,1,50 cents,Male,English,,no,Chrome,Mac,1080,1920,2.4972,
1177,cond90,The bass made a great dinner.,The bass made a great dinner.,11_cod_affirmative_negation_ref,0,Sarah caught a bass but she didn't catch a cod.,exp,affirmative_negation,The cod made a great dinner.,[],90,40,Yes,,3,1,50 cents,Male,English,,no,Chrome,Mac,1080,1920,2.4972,
1177,cond90,The pie that he was planning to make required too many ingredients.,The pie that he was planning to make required too many ingredients.,8_cake_managed_failed_nonref,0,Michael managed to bake a cake but failed to bake a pie.,exp,managed_failed,The cake that he was planning to make required too many ingredients.,[],90,40,Yes,,3,1,50 cents,Male,English,,no,Chrome,Mac,1080,1920,2.4972,
1177,cond90,and it likely belonged to an extinct bird species.,and it likely belonged to an extinct bird species.,15_bone_affirmative,0,David discovered a bone on his archeological expedition,exp,affirmative,and it's not a big deal.,[],90,40,Yes,,3,1,50 cents,Male,English,,no,Chrome,Mac,1080,1920,2.4972,
1177,cond90,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],90,40,Yes,,3,1,50 cents,Male,English,,no,Chrome,Mac,1080,1920,2.4972,
905,cond90,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],90,27,,,1,-1,,Female,English,,,Safari,iPhone/iPod,896,414,1.7688166666666667,
905,cond90,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],90,27,,,1,-1,,Female,English,,,Safari,iPhone/iPod,896,414,1.7688166666666667,
905,cond90,The bass made a great dinner.,The bass made a great dinner.,11_cod_affirmative_negation_ref,0,Sarah caught a bass but she didn't catch a cod.,exp,affirmative_negation,The cod made a great dinner.,[],90,27,,,1,-1,,Female,English,,,Safari,iPhone/iPod,896,414,1.7688166666666667,
905,cond90,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],90,27,,,1,-1,,Female,English,,,Safari,iPhone/iPod,896,414,1.7688166666666667,
905,cond90,and it likely belonged to an extinct bird species.,and it likely belonged to an extinct bird species.,15_bone_affirmative,0,David discovered a bone on his archeological expedition,exp,affirmative,and it's not a big deal.,[],90,27,,,1,-1,,Female,English,,,Safari,iPhone/iPod,896,414,1.7688166666666667,
905,cond90,and it's not a big deal.,and it's not a big deal.,6_rat_modal,0,Carla wants to get a pet rat,exp,modal,and it is very noisy at night.,[],90,27,,,1,-1,,Female,English,,,Safari,iPhone/iPod,896,414,1.7688166666666667,
905,cond90,The pie that he was planning to make required too many ingredients.,The pie that he was planning to make required too many ingredients.,8_cake_managed_failed_nonref,0,Michael managed to bake a cake but failed to bake a pie.,exp,managed_failed,The cake that he was planning to make required too many ingredients.,[],90,27,,,1,-1,,Female,English,,,Safari,iPhone/iPod,896,414,1.7688166666666667,
905,cond90,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],90,27,,,1,-1,,Female,English,,,Safari,iPhone/iPod,896,414,1.7688166666666667,
1004,cond90,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],90,60,Yes,,3,1,.30,Male,english,,none,Chrome,Windows,1024,1280,2.896516666666667,
1004,cond90,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],90,60,Yes,,3,1,.30,Male,english,,none,Chrome,Windows,1024,1280,2.896516666666667,
1004,cond90,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],90,60,Yes,,3,1,.30,Male,english,,none,Chrome,Windows,1024,1280,2.896516666666667,
1004,cond90,The pie that he was planning to make required too many ingredients.,The pie that he was planning to make required too many ingredients.,8_cake_managed_failed_nonref,0,Michael managed to bake a cake but failed to bake a pie.,exp,managed_failed,The cake that he was planning to make required too many ingredients.,[],90,60,Yes,,3,1,.30,Male,english,,none,Chrome,Windows,1024,1280,2.896516666666667,
1004,cond90,The bass made a great dinner.,The bass made a great dinner.,11_cod_affirmative_negation_ref,1,Sarah caught a bass but she didn't catch a cod.,exp,affirmative_negation,The cod made a great dinner.,[],90,60,Yes,,3,1,.30,Male,english,,none,Chrome,Windows,1024,1280,2.896516666666667,
1004,cond90,and it likely belonged to an extinct bird species.,and it likely belonged to an extinct bird species.,15_bone_affirmative,1,David discovered a bone on his archeological expedition,exp,affirmative,and it's not a big deal.,[],90,60,Yes,,3,1,.30,Male,english,,none,Chrome,Windows,1024,1280,2.896516666666667,
1004,cond90,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],90,60,Yes,,3,1,.30,Male,english,,none,Chrome,Windows,1024,1280,2.896516666666667,
1004,cond90,and it is very noisy at night.,and it's not a big deal.,6_rat_modal,1,Carla wants to get a pet rat,unexp,modal,and it is very noisy at night.,[],90,60,Yes,,3,1,.30,Male,english,,none,Chrome,Windows,1024,1280,2.896516666666667,
729,cond90,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],90,27,No,,3,1,$1,Female,english,,no,Chrome,Windows,864,1536,1.1403833333333333,
729,cond90,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],90,27,No,,3,1,$1,Female,english,,no,Chrome,Windows,864,1536,1.1403833333333333,
729,cond90,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],90,27,No,,3,1,$1,Female,english,,no,Chrome,Windows,864,1536,1.1403833333333333,
729,cond90,and it likely belonged to an extinct bird species.,and it likely belonged to an extinct bird species.,15_bone_affirmative,0,David discovered a bone on his archeological expedition,exp,affirmative,and it's not a big deal.,[],90,27,No,,3,1,$1,Female,english,,no,Chrome,Windows,864,1536,1.1403833333333333,
729,cond90,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],90,27,No,,3,1,$1,Female,english,,no,Chrome,Windows,864,1536,1.1403833333333333,
729,cond90,and it is very noisy at night.,and it's not a big deal.,6_rat_modal,0,Carla wants to get a pet rat,unexp,modal,and it is very noisy at night.,[],90,27,No,,3,1,$1,Female,english,,no,Chrome,Windows,864,1536,1.1403833333333333,
729,cond90,The bass made a great dinner.,The bass made a great dinner.,11_cod_affirmative_negation_ref,0,Sarah caught a bass but she didn't catch a cod.,exp,affirmative_negation,The cod made a great dinner.,[],90,27,No,,3,1,$1,Female,english,,no,Chrome,Windows,864,1536,1.1403833333333333,
729,cond90,The pie that he was planning to make required too many ingredients.,The pie that he was planning to make required too many ingredients.,8_cake_managed_failed_nonref,0,Michael managed to bake a cake but failed to bake a pie.,exp,managed_failed,The cake that he was planning to make required too many ingredients.,[],90,27,No,,3,1,$1,Female,english,,no,Chrome,Windows,864,1536,1.1403833333333333,
1129,cond118,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],118,28,Yes,,2,-1,,Male,English,,,Chrome,Windows,1080,1920,2.47495,
1129,cond118,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],118,28,Yes,,2,-1,,Male,English,,,Chrome,Windows,1080,1920,2.47495,
1129,cond118,The cod made a great dinner.,The cod made a great dinner.,11_cod_failed_managed_ref,0,Sarah failed to catch a bass but managed to catch a cod.,exp,failed_managed,The bass made a great dinner.,[],118,28,Yes,,2,-1,,Male,English,,,Chrome,Windows,1080,1920,2.47495,
1129,cond118,The shirt that she tried on didn't fit.,The shirt that she tried on didn't fit.,5_shirt_modal_affirmative_nonref,1,Mary wanted to find a shirt at the store but she found a hat.,exp,modal_affirmative,The hat that she tried on didn't fit.,[],118,28,Yes,,2,-1,,Male,English,,,Chrome,Windows,1080,1920,2.47495,
1129,cond118,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],118,28,Yes,,2,-1,,Male,English,,,Chrome,Windows,1080,1920,2.47495,
1129,cond118,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],118,28,Yes,,2,-1,,Male,English,,,Chrome,Windows,1080,1920,2.47495,
1129,cond118,It is the most beautiful building I have ever seen.,It is the most beautiful building I have ever seen.,16_house_managed,1,Lisa managed to build a house.,exp,managed,It's not a big deal.,[],118,28,Yes,,2,-1,,Male,English,,,Chrome,Windows,1080,1920,2.47495,
1129,cond118,It's not a big deal.,It's not a big deal.,8_cake_doubt,1,I doubt that Michael baked a cake.,exp,doubt,It was the best thing at the picnic.,[],118,28,Yes,,2,-1,,Male,English,,,Chrome,Windows,1080,1920,2.47495,
1214,cond118,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],118,31,Yes,,2,2,yes,Male,English,,nope,Firefox,Windows,1080,1920,5.577733333333334,
1214,cond118,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],118,31,Yes,,2,2,yes,Male,English,,nope,Firefox,Windows,1080,1920,5.577733333333334,
1214,cond118,It is the most beautiful building I have ever seen.,It is the most beautiful building I have ever seen.,16_house_managed,0,Lisa managed to build a house.,exp,managed,It's not a big deal.,[],118,31,Yes,,2,2,yes,Male,English,,nope,Firefox,Windows,1080,1920,5.577733333333334,
1214,cond118,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],118,31,Yes,,2,2,yes,Male,English,,nope,Firefox,Windows,1080,1920,5.577733333333334,
1214,cond118,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],118,31,Yes,,2,2,yes,Male,English,,nope,Firefox,Windows,1080,1920,5.577733333333334,
1214,cond118,It's not a big deal.,It's not a big deal.,8_cake_doubt,1,I doubt that Michael baked a cake.,exp,doubt,It was the best thing at the picnic.,[],118,31,Yes,,2,2,yes,Male,English,,nope,Firefox,Windows,1080,1920,5.577733333333334,
1214,cond118,The cod made a great dinner.,The cod made a great dinner.,11_cod_failed_managed_ref,0,Sarah failed to catch a bass but managed to catch a cod.,exp,failed_managed,The bass made a great dinner.,[],118,31,Yes,,2,2,yes,Male,English,,nope,Firefox,Windows,1080,1920,5.577733333333334,
1214,cond118,The hat that she tried on didn't fit.,The shirt that she tried on didn't fit.,5_shirt_modal_affirmative_nonref,1,Mary wanted to find a shirt at the store but she found a hat.,unexp,modal_affirmative,The hat that she tried on didn't fit.,[],118,31,Yes,,2,2,yes,Male,English,,nope,Firefox,Windows,1080,1920,5.577733333333334,
704,cond118,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],118,23,Yes,,3,1,yes,Male,english,Punjabi,no,Chrome,Windows,1080,1920,1.1796,
704,cond118,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],118,23,Yes,,3,1,yes,Male,english,Punjabi,no,Chrome,Windows,1080,1920,1.1796,
704,cond118,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],118,23,Yes,,3,1,yes,Male,english,Punjabi,no,Chrome,Windows,1080,1920,1.1796,
704,cond118,It's not a big deal.,It's not a big deal.,8_cake_doubt,1,I doubt that Michael baked a cake.,exp,doubt,It was the best thing at the picnic.,[],118,23,Yes,,3,1,yes,Male,english,Punjabi,no,Chrome,Windows,1080,1920,1.1796,
704,cond118,It is the most beautiful building I have ever seen.,It is the most beautiful building I have ever seen.,16_house_managed,1,Lisa managed to build a house.,exp,managed,It's not a big deal.,[],118,23,Yes,,3,1,yes,Male,english,Punjabi,no,Chrome,Windows,1080,1920,1.1796,
704,cond118,The shirt that she tried on didn't fit.,The shirt that she tried on didn't fit.,5_shirt_modal_affirmative_nonref,0,Mary wanted to find a shirt at the store but she found a hat.,exp,modal_affirmative,The hat that she tried on didn't fit.,[],118,23,Yes,,3,1,yes,Male,english,Punjabi,no,Chrome,Windows,1080,1920,1.1796,
704,cond118,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],118,23,Yes,,3,1,yes,Male,english,Punjabi,no,Chrome,Windows,1080,1920,1.1796,
704,cond118,The cod made a great dinner.,The cod made a great dinner.,11_cod_failed_managed_ref,1,Sarah failed to catch a bass but managed to catch a cod.,exp,failed_managed,The bass made a great dinner.,[],118,23,Yes,,3,1,yes,Male,english,Punjabi,no,Chrome,Windows,1080,1920,1.1796,
965,cond118,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],118,21,Confused,,2,1,,Female,,,,Chrome,Mac,800,1280,1.3287666666666669,
965,cond118,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],118,21,Confused,,2,1,,Female,,,,Chrome,Mac,800,1280,1.3287666666666669,
965,cond118,It is the most beautiful building I have ever seen.,It is the most beautiful building I have ever seen.,16_house_managed,1,Lisa managed to build a house.,exp,managed,It's not a big deal.,[],118,21,Confused,,2,1,,Female,,,,Chrome,Mac,800,1280,1.3287666666666669,
965,cond118,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],118,21,Confused,,2,1,,Female,,,,Chrome,Mac,800,1280,1.3287666666666669,
965,cond118,The shirt that she tried on didn't fit.,The shirt that she tried on didn't fit.,5_shirt_modal_affirmative_nonref,1,Mary wanted to find a shirt at the store but she found a hat.,exp,modal_affirmative,The hat that she tried on didn't fit.,[],118,21,Confused,,2,1,,Female,,,,Chrome,Mac,800,1280,1.3287666666666669,
