pair_id,sentence,type,pronoun,preferred,noun,ll
94,Joseph didn't get a dog and the dog's name was Fido.,negation,0,0,dog,22.418259
95,Joseph got a dog and its name was Fido.,negation,1,1,dog,20.188856
95,Joseph didn't get a dog and its name was Fido.,negation,1,0,dog,21.535704
96,Sarah got a dog and the dog liked to swim in lakes.,negation,0,1,dog,30.622343
96,Sarah didn't get a dog and the dog liked to swim in lakes.,negation,0,0,dog,30.728266
97,Sarah got a dog and it liked to swim in lakes.,negation,1,1,dog,28.553425
97,Sarah didn't get a dog and it liked to swim in lakes.,negation,1,0,dog,29.304092
98,Bob got a dog and the dog loved cheese.,negation,0,1,dog,22.85807
98,Bob didn't get a dog and the dog loved cheese.,negation,0,0,dog,23.574438
99,Bob got a dog and it loved cheese.,negation,1,1,dog,21.310534
99,Bob didn't get a dog and it loved cheese.,negation,1,0,dog,23.740557
100,Elizabeth bought a dog and the dog had a long tail.,negation,0,1,dog,19.728167
100,Elizabeth didn't buy a dog and the dog had a long tail.,negation,0,0,dog,19.224787
101,Elizabeth bought a dog and it had a long tail.,negation,1,1,dog,18.305908
101,Elizabeth didn't buy a dog and it had a long tail.,negation,1,0,dog,17.525045
102,Jessica bought a dog and the dog had a red collar.,negation,0,1,dog,21.566029
102,Jessica didn't buy a dog and the dog had a red collar.,negation,0,0,dog,21.722565
103,Jessica bought a dog and it had a red collar.,negation,1,1,dog,19.28822
103,Jessica didn't buy a dog and it had a red collar.,negation,1,0,dog,19.537466
104,James bought a dog and the dog had a blind eye.,negation,0,1,dog,24.39261
104,James didn't buy a dog and the dog had a blind eye.,negation,0,0,dog,24.391298
105,James bought a dog and it had a blind eye.,negation,1,1,dog,22.819948
105,James didn't buy a dog and it had a blind eye.,negation,1,0,dog,22.435707
106,Bob bought a dog and the dog had a shrill voice.,negation,0,1,dog,29.076994
106,Bob didn't buy a dog and the dog had a shrill voice.,negation,0,0,dog,28.421383
107,Bob bought a dog and it had a shrill voice.,negation,1,1,dog,27.360727
107,Bob didn't buy a dog and it had a shrill voice.,negation,1,0,dog,26.637323
108,John bought a dog and the dog had a colorful back.,negation,0,1,dog,28.328539
108,John didn't buy a dog and the dog had a colorful back.,negation,0,0,dog,28.127956
109,John bought a dog and it had a colorful back.,negation,1,1,dog,26.055595
109,John didn't buy a dog and it had a colorful back.,negation,1,0,dog,25.51463
110,Bill bought a dog and the dog enjoyed frolicking in the forest.,negation,0,1,dog,32.57143
110,Bill didn't buy a dog and the dog enjoyed frolicking in the forest.,negation,0,0,dog,33.18675
111,Bill bought a dog and it enjoyed frolicking in the forest.,negation,1,1,dog,31.52817
111,Bill didn't buy a dog and it enjoyed frolicking in the forest.,negation,1,0,dog,31.470682
112,David bought a dog and the dog preferred fish over other food.,negation,0,1,dog,36.561874
112,David didn't buy a dog and the dog preferred fish over other food.,negation,0,0,dog,35.25052
113,David bought a dog and it preferred fish over other food.,negation,1,1,dog,34.74576
113,David didn't buy a dog and it preferred fish over other food.,negation,1,0,dog,33.58741
114,Karen bought a dog and the dog's name was Fido.,negation,0,1,dog,21.955208
114,Karen didn't buy a dog and the dog's name was Fido.,negation,0,0,dog,22.607925
115,Karen bought a dog and its name was Fido.,negation,1,1,dog,21.521885
115,Karen didn't buy a dog and its name was Fido.,negation,1,0,dog,21.935099
116,Elizabeth bought a dog and the dog liked to swim in lakes.,negation,0,1,dog,30.41875
116,Elizabeth didn't buy a dog and the dog liked to swim in lakes.,negation,0,0,dog,30.232302
117,Elizabeth bought a dog and it liked to swim in lakes.,negation,1,1,dog,28.573645
117,Elizabeth didn't buy a dog and it liked to swim in lakes.,negation,1,0,dog,28.54914
118,John bought a dog and the dog loved cheese.,negation,0,1,dog,22.859062
118,John didn't buy a dog and the dog loved cheese.,negation,0,0,dog,23.33847
119,John bought a dog and it loved cheese.,negation,1,1,dog,21.394983
119,John didn't buy a dog and it loved cheese.,negation,1,0,dog,23.160513
120,John mentioned a dog and the dog had a long tail.,negation,0,1,dog,18.31777
120,John didn't mention a dog and the dog had a long tail.,negation,0,0,dog,19.532272
121,John mentioned a dog and it had a long tail.,negation,1,1,dog,16.079338
121,John didn't mention a dog and it had a long tail.,negation,1,0,dog,16.917263
122,Sarah mentioned a dog and the dog had a red collar.,negation,0,1,dog,20.564447
122,Sarah didn't mention a dog and the dog had a red collar.,negation,0,0,dog,22.124462
123,Sarah mentioned a dog and it had a red collar.,negation,1,1,dog,18.27493
123,Sarah didn't mention a dog and it had a red collar.,negation,1,0,dog,19.799524
124,Karen mentioned a dog and the dog had a blind eye.,negation,0,1,dog,23.038464
124,Karen didn't mention a dog and the dog had a blind eye.,negation,0,0,dog,24.685038
125,Karen mentioned a dog and it had a blind eye.,negation,1,1,dog,21.382427
125,Karen didn't mention a dog and it had a blind eye.,negation,1,0,dog,22.693155
126,Mary mentioned a dog and the dog had a shrill voice.,negation,0,1,dog,25.721096
126,Mary didn't mention a dog and the dog had a shrill voice.,negation,0,0,dog,27.570063
127,Mary mentioned a dog and it had a shrill voice.,negation,1,1,dog,24.094484
127,Mary didn't mention a dog and it had a shrill voice.,negation,1,0,dog,24.910378
128,Karen mentioned a dog and the dog had a colorful back.,negation,0,1,dog,27.397448
128,Karen didn't mention a dog and the dog had a colorful back.,negation,0,0,dog,28.155308
129,Karen mentioned a dog and it had a colorful back.,negation,1,1,dog,25.121254
129,Karen didn't mention a dog and it had a colorful back.,negation,1,0,dog,25.34135
130,Bob mentioned a dog and the dog enjoyed frolicking in the forest.,negation,0,1,dog,30.715328
130,Bob didn't mention a dog and the dog enjoyed frolicking in the forest.,negation,0,0,dog,33.031284
131,Bob mentioned a dog and it enjoyed frolicking in the forest.,negation,1,1,dog,29.814945
131,Bob didn't mention a dog and it enjoyed frolicking in the forest.,negation,1,0,dog,31.302076
132,Bob mentioned a dog and the dog preferred fish over other food.,negation,0,1,dog,33.19047
132,Bob didn't mention a dog and the dog preferred fish over other food.,negation,0,0,dog,35.322346
133,Bob mentioned a dog and it preferred fish over other food.,negation,1,1,dog,32.388702
133,Bob didn't mention a dog and it preferred fish over other food.,negation,1,0,dog,33.5543
134,John mentioned a dog and the dog's name was Fido.,negation,0,1,dog,18.67629
134,John didn't mention a dog and the dog's name was Fido.,negation,0,0,dog,21.189188
135,John mentioned a dog and its name was Fido.,negation,1,1,dog,19.454689
135,John didn't mention a dog and its name was Fido.,negation,1,0,dog,20.809452
136,Thomas mentioned a dog and the dog liked to swim in lakes.,negation,0,1,dog,30.458275
136,Thomas didn't mention a dog and the dog liked to swim in lakes.,negation,0,0,dog,32.16169
137,Thomas mentioned a dog and it liked to swim in lakes.,negation,1,1,dog,28.636206
137,Thomas didn't mention a dog and it liked to swim in lakes.,negation,1,0,dog,30.001986
138,Karen mentioned a dog and the dog loved cheese.,negation,0,1,dog,23.514893
138,Karen didn't mention a dog and the dog loved cheese.,negation,0,0,dog,25.05877
139,Karen mentioned a dog and it loved cheese.,negation,1,1,dog,21.865314
139,Karen didn't mention a dog and it loved cheese.,negation,1,0,dog,23.884382
140,Michael visited a dog and the dog had a long tail.,negation,0,1,dog,20.28758
140,Michael didn't visit a dog and the dog had a long tail.,negation,0,0,dog,19.054407
141,Michael visited a dog and it had a long tail.,negation,1,1,dog,19.453613
141,Michael didn't visit a dog and it had a long tail.,negation,1,0,dog,18.336393
142,Bill visited a dog and the dog had a red collar.,negation,0,1,dog,23.212822
142,Bill didn't visit a dog and the dog had a red collar.,negation,0,0,dog,21.910902
143,Bill visited a dog and it had a red collar.,negation,1,1,dog,21.551039
143,Bill didn't visit a dog and it had a red collar.,negation,1,0,dog,20.060396
144,Nancy visited a dog and the dog had a blind eye.,negation,0,1,dog,24.047583
144,Nancy didn't visit a dog and the dog had a blind eye.,negation,0,0,dog,23.991697
145,Nancy visited a dog and it had a blind eye.,negation,1,1,dog,22.966055
145,Nancy didn't visit a dog and it had a blind eye.,negation,1,0,dog,22.664978
146,Jennifer visited a dog and the dog had a shrill voice.,negation,0,1,dog,28.953468
146,Jennifer didn't visit a dog and the dog had a shrill voice.,negation,0,0,dog,28.331394
147,Jennifer visited a dog and it had a shrill voice.,negation,1,1,dog,27.600052
147,Jennifer didn't visit a dog and it had a shrill voice.,negation,1,0,dog,26.751205
148,Michael visited a dog and the dog had a colorful back.,negation,0,1,dog,29.239819
148,Michael didn't visit a dog and the dog had a colorful back.,negation,0,0,dog,27.970646
149,Michael visited a dog and it had a colorful back.,negation,1,1,dog,27.567623
149,Michael didn't visit a dog and it had a colorful back.,negation,1,0,dog,26.174614
150,Bob visited a dog and the dog enjoyed frolicking in the forest.,negation,0,1,dog,31.60259
150,Bob didn't visit a dog and the dog enjoyed frolicking in the forest.,negation,0,0,dog,32.44969
151,Bob visited a dog and it enjoyed frolicking in the forest.,negation,1,1,dog,31.181564
151,Bob didn't visit a dog and it enjoyed frolicking in the forest.,negation,1,0,dog,31.75586
152,Jennifer visited a dog and the dog preferred fish over other food.,negation,0,1,dog,34.815117
152,Jennifer didn't visit a dog and the dog preferred fish over other food.,negation,0,0,dog,33.87836
153,Jennifer visited a dog and it preferred fish over other food.,negation,1,1,dog,34.426903
153,Jennifer didn't visit a dog and it preferred fish over other food.,negation,1,0,dog,33.196884
154,Mary visited a dog and the dog's name was Fido.,negation,0,1,dog,22.764894
154,Mary didn't visit a dog and the dog's name was Fido.,negation,0,0,dog,22.566027
155,Mary visited a dog and its name was Fido.,negation,1,1,dog,24.344349
155,Mary didn't visit a dog and its name was Fido.,negation,1,0,dog,23.601095
156,Susan visited a dog and the dog liked to swim in lakes.,negation,0,1,dog,31.989511
156,Susan didn't visit a dog and the dog liked to swim in lakes.,negation,0,0,dog,30.366034
157,Susan visited a dog and it liked to swim in lakes.,negation,1,1,dog,30.945448
157,Susan didn't visit a dog and it liked to swim in lakes.,negation,1,0,dog,29.343014
158,Joseph visited a dog and the dog loved cheese.,negation,0,1,dog,24.065084
158,Joseph didn't visit a dog and the dog loved cheese.,negation,0,0,dog,23.155972
159,Joseph visited a dog and it loved cheese.,negation,1,1,dog,23.089487
159,Joseph didn't visit a dog and it loved cheese.,negation,1,0,dog,23.527807
160,Bill met a dog and the dog had a long tail.,negation,0,1,dog,19.696348
160,Bill didn't meet a dog and the dog had a long tail.,negation,0,0,dog,19.44483
161,Bill met a dog and it had a long tail.,negation,1,1,dog,18.845333
161,Bill didn't meet a dog and it had a long tail.,negation,1,0,dog,17.51385
162,Bill met a dog and the dog had a red collar.,negation,0,1,dog,22.082577
162,Bill didn't meet a dog and the dog had a red collar.,negation,0,0,dog,21.8658
163,Bill met a dog and it had a red collar.,negation,1,1,dog,20.99376
163,Bill didn't meet a dog and it had a red collar.,negation,1,0,dog,19.586401
164,Mary met a dog and the dog had a blind eye.,negation,0,1,dog,22.788654
164,Mary didn't meet a dog and the dog had a blind eye.,negation,0,0,dog,22.991556
165,Mary met a dog and it had a blind eye.,negation,1,1,dog,22.3395
165,Mary didn't meet a dog and it had a blind eye.,negation,1,0,dog,21.909857
166,Karen met a dog and the dog had a shrill voice.,negation,0,1,dog,27.017368
166,Karen didn't meet a dog and the dog had a shrill voice.,negation,0,0,dog,27.84821
167,Karen met a dog and it had a shrill voice.,negation,1,1,dog,26.313911
167,Karen didn't meet a dog and it had a shrill voice.,negation,1,0,dog,26.186028
168,Linda met a dog and the dog had a colorful back.,negation,0,1,dog,27.104275
168,Linda didn't meet a dog and the dog had a colorful back.,negation,0,0,dog,27.461527
169,Linda met a dog and it had a colorful back.,negation,1,1,dog,25.844261
169,Linda didn't meet a dog and it had a colorful back.,negation,1,0,dog,25.5178
170,Nancy met a dog and the dog enjoyed frolicking in the forest.,negation,0,1,dog,31.51337
170,Nancy didn't meet a dog and the dog enjoyed frolicking in the forest.,negation,0,0,dog,33.67253
171,Nancy met a dog and it enjoyed frolicking in the forest.,negation,1,1,dog,31.25683
171,Nancy didn't meet a dog and it enjoyed frolicking in the forest.,negation,1,0,dog,32.73699
172,Nancy met a dog and the dog preferred fish over other food.,negation,0,1,dog,35.145473
172,Nancy didn't meet a dog and the dog preferred fish over other food.,negation,0,0,dog,34.124462
173,Nancy met a dog and it preferred fish over other food.,negation,1,1,dog,34.07796
173,Nancy didn't meet a dog and it preferred fish over other food.,negation,1,0,dog,32.63223
174,Linda met a dog and the dog's name was Fido.,negation,0,1,dog,21.7165
174,Linda didn't meet a dog and the dog's name was Fido.,negation,0,0,dog,21.601475
175,Linda met a dog and its name was Fido.,negation,1,1,dog,23.81405
175,Linda didn't meet a dog and its name was Fido.,negation,1,0,dog,22.001781
176,Jennifer met a dog and the dog liked to swim in lakes.,negation,0,1,dog,29.651316
176,Jennifer didn't meet a dog and the dog liked to swim in lakes.,negation,0,0,dog,30.633968
177,Jennifer met a dog and it liked to swim in lakes.,negation,1,1,dog,29.174997
177,Jennifer didn't meet a dog and it liked to swim in lakes.,negation,1,0,dog,29.792637
178,Linda met a dog and the dog loved cheese.,negation,0,1,dog,22.73631
178,Linda didn't meet a dog and the dog loved cheese.,negation,0,0,dog,24.034153
179,Linda met a dog and it loved cheese.,negation,1,1,dog,22.55836
