pair_id,sentence,type,pronoun,preferred,ll
44,Jessica didn't kick a dog. The dog had a blind eye.,negation,0,0,24.26445
45,Jessica kicked a dog. It had a blind eye.,negation,1,1,21.22099
45,Jessica didn't kick a dog. It had a blind eye.,negation,1,0,23.26268
46,Elizabeth kicked a dog. The dog had a shrill voice.,negation,0,1,25.487284
46,Elizabeth didn't kick a dog. The dog had a shrill voice.,negation,0,0,26.857872
47,Elizabeth kicked a dog. It had a shrill voice.,negation,1,1,24.96706
47,Elizabeth didn't kick a dog. It had a shrill voice.,negation,1,0,25.218315
48,James kicked a dog. The dog had a colorful back.,negation,0,1,26.564999
48,James didn't kick a dog. The dog had a colorful back.,negation,0,0,28.277931
49,James kicked a dog. It had a colorful back.,negation,1,1,24.885115
49,James didn't kick a dog. It had a colorful back.,negation,1,0,26.162758
50,Thomas kicked a dog. The dog enjoyed frolicking in the forest.,negation,0,1,33.379612
50,Thomas didn't kick a dog. The dog enjoyed frolicking in the forest.,negation,0,0,34.2451
51,Thomas kicked a dog. It enjoyed frolicking in the forest.,negation,1,1,33.299324
51,Thomas didn't kick a dog. It enjoyed frolicking in the forest.,negation,1,0,34.136703
52,David kicked a dog. The dog preferred fish over other food.,negation,0,1,34.62556
52,David didn't kick a dog. The dog preferred fish over other food.,negation,0,0,36.34375
53,David kicked a dog. It preferred fish over other food.,negation,1,1,34.079777
53,David didn't kick a dog. It preferred fish over other food.,negation,1,0,35.437386
54,Sarah kicked a dog. The dog's name was Fido.,negation,0,1,20.771519
54,Sarah didn't kick a dog. The dog's name was Fido.,negation,0,0,23.3164
55,Sarah kicked a dog. Its name was Fido.,negation,1,1,21.78325
55,Sarah didn't kick a dog. Its name was Fido.,negation,1,0,24.268307
56,John kicked a dog. The dog liked to swim in lakes.,negation,0,1,31.476303
56,John didn't kick a dog. The dog liked to swim in lakes.,negation,0,0,32.188675
57,John kicked a dog. It liked to swim in lakes.,negation,1,1,29.893951
57,John didn't kick a dog. It liked to swim in lakes.,negation,1,0,30.89615
58,Barbara kicked a dog. The dog loved cheese.,negation,0,1,23.031307
58,Barbara didn't kick a dog. The dog loved cheese.,negation,0,0,23.169567
59,Barbara kicked a dog. It loved cheese.,negation,1,1,21.957582
59,Barbara didn't kick a dog. It loved cheese.,negation,1,0,21.848745
60,Susan brought a dog. The dog had a long tail.,negation,0,1,17.071394
60,Susan didn't bring a dog. The dog had a long tail.,negation,0,0,19.578445
61,Susan brought a dog. It had a long tail.,negation,1,1,15.67655
61,Susan didn't bring a dog. It had a long tail.,negation,1,0,17.670803
62,James brought a dog. The dog had a red collar.,negation,0,1,19.127295
62,James didn't bring a dog. The dog had a red collar.,negation,0,0,22.179258
63,James brought a dog. It had a red collar.,negation,1,1,17.292353
63,James didn't bring a dog. It had a red collar.,negation,1,0,19.859592
64,Joseph brought a dog. The dog had a blind eye.,negation,0,1,21.715048
64,Joseph didn't bring a dog. The dog had a blind eye.,negation,0,0,24.116556
65,Joseph brought a dog. It had a blind eye.,negation,1,1,20.423351
65,Joseph didn't bring a dog. It had a blind eye.,negation,1,0,22.232061
66,Mary brought a dog. The dog had a shrill voice.,negation,0,1,25.29869
66,Mary didn't bring a dog. The dog had a shrill voice.,negation,0,0,27.085777
67,Mary brought a dog. It had a shrill voice.,negation,1,1,24.626236
67,Mary didn't bring a dog. It had a shrill voice.,negation,1,0,25.369318
68,Jessica brought a dog. The dog had a colorful back.,negation,0,1,25.660524
68,Jessica didn't bring a dog. The dog had a colorful back.,negation,0,0,27.740868
69,Jessica brought a dog. It had a colorful back.,negation,1,1,23.773136
69,Jessica didn't bring a dog. It had a colorful back.,negation,1,0,25.230644
70,Michael brought a dog. The dog enjoyed frolicking in the forest.,negation,0,1,32.50817
70,Michael didn't bring a dog. The dog enjoyed frolicking in the forest.,negation,0,0,33.775936
71,Michael brought a dog. It enjoyed frolicking in the forest.,negation,1,1,31.938515
71,Michael didn't bring a dog. It enjoyed frolicking in the forest.,negation,1,0,33.390415
72,Barbara brought a dog. The dog preferred fish over other food.,negation,0,1,34.879715
72,Barbara didn't bring a dog. The dog preferred fish over other food.,negation,0,0,36.63927
73,Barbara brought a dog. It preferred fish over other food.,negation,1,1,33.02942
73,Barbara didn't bring a dog. It preferred fish over other food.,negation,1,0,33.70699
74,Thomas brought a dog. The dog's name was Fido.,negation,0,1,19.686169
74,Thomas didn't bring a dog. The dog's name was Fido.,negation,0,0,22.950586
75,Thomas brought a dog. Its name was Fido.,negation,1,1,19.550093
75,Thomas didn't bring a dog. Its name was Fido.,negation,1,0,22.409262
76,Elizabeth brought a dog. The dog liked to swim in lakes.,negation,0,1,28.871138
76,Elizabeth didn't bring a dog. The dog liked to swim in lakes.,negation,0,0,30.226004
77,Elizabeth brought a dog. It liked to swim in lakes.,negation,1,1,26.409998
77,Elizabeth didn't bring a dog. It liked to swim in lakes.,negation,1,0,28.332325
78,James brought a dog. The dog loved cheese.,negation,0,1,20.717716
78,James didn't bring a dog. The dog loved cheese.,negation,0,0,23.034424
79,James brought a dog. It loved cheese.,negation,1,1,19.016943
79,James didn't bring a dog. It loved cheese.,negation,1,0,22.616161
80,Michael got a dog. The dog had a long tail.,negation,0,1,17.725973
80,Michael didn't get a dog. The dog had a long tail.,negation,0,0,19.406265
81,Michael got a dog. It had a long tail.,negation,1,1,15.599415
81,Michael didn't get a dog. It had a long tail.,negation,1,0,17.693756
82,David got a dog. The dog had a red collar.,negation,0,1,19.647963
82,David didn't get a dog. The dog had a red collar.,negation,0,0,21.785013
83,David got a dog. It had a red collar.,negation,1,1,17.26871
83,David didn't get a dog. It had a red collar.,negation,1,0,19.85099
84,Jessica got a dog. The dog had a blind eye.,negation,0,1,22.882893
84,Jessica didn't get a dog. The dog had a blind eye.,negation,0,0,23.968515
85,Jessica got a dog. It had a blind eye.,negation,1,1,21.152977
85,Jessica didn't get a dog. It had a blind eye.,negation,1,0,22.8265
86,Barbara got a dog. The dog had a shrill voice.,negation,0,1,25.352732
86,Barbara didn't get a dog. The dog had a shrill voice.,negation,0,0,26.33593
87,Barbara got a dog. It had a shrill voice.,negation,1,1,24.249508
87,Barbara didn't get a dog. It had a shrill voice.,negation,1,0,25.300121
88,Richard got a dog. The dog had a colorful back.,negation,0,1,26.586596
88,Richard didn't get a dog. The dog had a colorful back.,negation,0,0,27.806927
89,Richard got a dog. It had a colorful back.,negation,1,1,24.11531
89,Richard didn't get a dog. It had a colorful back.,negation,1,0,25.250164
90,Bill got a dog. The dog enjoyed frolicking in the forest.,negation,0,1,32.697407
90,Bill didn't get a dog. The dog enjoyed frolicking in the forest.,negation,0,0,33.769817
91,Bill got a dog. It enjoyed frolicking in the forest.,negation,1,1,31.378176
91,Bill didn't get a dog. It enjoyed frolicking in the forest.,negation,1,0,32.313774
92,Barbara got a dog. The dog preferred fish over other food.,negation,0,1,36.134804
92,Barbara didn't get a dog. The dog preferred fish over other food.,negation,0,0,36.7112
93,Barbara got a dog. It preferred fish over other food.,negation,1,1,34.70958
93,Barbara didn't get a dog. It preferred fish over other food.,negation,1,0,34.440884
94,Mary got a dog. The dog's name was Fido.,negation,0,1,20.223776
94,Mary didn't get a dog. The dog's name was Fido.,negation,0,0,22.594063
95,Mary got a dog. Its name was Fido.,negation,1,1,19.458057
95,Mary didn't get a dog. Its name was Fido.,negation,1,0,22.481337
96,Jessica got a dog. The dog liked to swim in lakes.,negation,0,1,28.78235
96,Jessica didn't get a dog. The dog liked to swim in lakes.,negation,0,0,30.233667
97,Jessica got a dog. It liked to swim in lakes.,negation,1,1,27.338547
97,Jessica didn't get a dog. It liked to swim in lakes.,negation,1,0,29.581362
98,Sarah got a dog. The dog loved cheese.,negation,0,1,20.934706
98,Sarah didn't get a dog. The dog loved cheese.,negation,0,0,23.180584
99,Sarah got a dog. It loved cheese.,negation,1,1,19.992914
99,Sarah didn't get a dog. It loved cheese.,negation,1,0,24.19644
100,David bought a dog. The dog had a long tail.,negation,0,1,18.18669
100,David didn't buy a dog. The dog had a long tail.,negation,0,0,20.045675
101,David bought a dog. It had a long tail.,negation,1,1,16.55709
101,David didn't buy a dog. It had a long tail.,negation,1,0,18.274729
102,Linda bought a dog. The dog had a red collar.,negation,0,1,19.696884
102,Linda didn't buy a dog. The dog had a red collar.,negation,0,0,21.731937
103,Linda bought a dog. It had a red collar.,negation,1,1,18.028728
103,Linda didn't buy a dog. It had a red collar.,negation,1,0,20.151224
104,Mary bought a dog. The dog had a blind eye.,negation,0,1,22.614946
104,Mary didn't buy a dog. The dog had a blind eye.,negation,0,0,24.474558
105,Mary bought a dog. It had a blind eye.,negation,1,1,21.354185
105,Mary didn't buy a dog. It had a blind eye.,negation,1,0,22.889242
106,Nancy bought a dog. The dog had a shrill voice.,negation,0,1,26.695791
106,Nancy didn't buy a dog. The dog had a shrill voice.,negation,0,0,27.398397
107,Nancy bought a dog. It had a shrill voice.,negation,1,1,26.049976
107,Nancy didn't buy a dog. It had a shrill voice.,negation,1,0,26.268312
108,Michael bought a dog. The dog had a colorful back.,negation,0,1,26.469818
108,Michael didn't buy a dog. The dog had a colorful back.,negation,0,0,27.896069
109,Michael bought a dog. It had a colorful back.,negation,1,1,24.43068
109,Michael didn't buy a dog. It had a colorful back.,negation,1,0,25.513203
110,Linda bought a dog. The dog enjoyed frolicking in the forest.,negation,0,1,32.330246
110,Linda didn't buy a dog. The dog enjoyed frolicking in the forest.,negation,0,0,33.4786
111,Linda bought a dog. It enjoyed frolicking in the forest.,negation,1,1,32.00993
111,Linda didn't buy a dog. It enjoyed frolicking in the forest.,negation,1,0,33.10664
112,David bought a dog. The dog preferred fish over other food.,negation,0,1,34.996017
112,David didn't buy a dog. The dog preferred fish over other food.,negation,0,0,35.963604
113,David bought a dog. It preferred fish over other food.,negation,1,1,33.76615
113,David didn't buy a dog. It preferred fish over other food.,negation,1,0,34.342457
114,Sarah bought a dog. The dog's name was Fido.,negation,0,1,19.857893
114,Sarah didn't buy a dog. The dog's name was Fido.,negation,0,0,22.473623
115,Sarah bought a dog. Its name was Fido.,negation,1,1,19.118683
115,Sarah didn't buy a dog. Its name was Fido.,negation,1,0,22.078554
116,Bill bought a dog. The dog liked to swim in lakes.,negation,0,1,29.010954
116,Bill didn't buy a dog. The dog liked to swim in lakes.,negation,0,0,30.839369
117,Bill bought a dog. It liked to swim in lakes.,negation,1,1,26.411615
117,Bill didn't buy a dog. It liked to swim in lakes.,negation,1,0,27.784834
118,Bill bought a dog. The dog loved cheese.,negation,0,1,21.784863
118,Bill didn't buy a dog. The dog loved cheese.,negation,0,0,23.675205
119,Bill bought a dog. It loved cheese.,negation,1,1,20.01921
119,Bill didn't buy a dog. It loved cheese.,negation,1,0,21.924442
120,Michael mentioned a dog. The dog had a long tail.,negation,0,1,16.561567
120,Michael didn't mention a dog. The dog had a long tail.,negation,0,0,20.018576
121,Michael mentioned a dog. It had a long tail.,negation,1,1,15.332362
121,Michael didn't mention a dog. It had a long tail.,negation,1,0,17.640759
122,Thomas mentioned a dog. The dog had a red collar.,negation,0,1,19.189163
122,Thomas didn't mention a dog. The dog had a red collar.,negation,0,0,23.117496
123,Thomas mentioned a dog. It had a red collar.,negation,1,1,17.643497
123,Thomas didn't mention a dog. It had a red collar.,negation,1,0,20.818203
124,John mentioned a dog. The dog had a blind eye.,negation,0,1,21.524765
124,John didn't mention a dog. The dog had a blind eye.,negation,0,0,24.906359
125,John mentioned a dog. It had a blind eye.,negation,1,1,20.391863
125,John didn't mention a dog. It had a blind eye.,negation,1,0,22.624111
126,Nancy mentioned a dog. The dog had a shrill voice.,negation,0,1,25.688175
126,Nancy didn't mention a dog. The dog had a shrill voice.,negation,0,0,27.364466
127,Nancy mentioned a dog. It had a shrill voice.,negation,1,1,24.395992
127,Nancy didn't mention a dog. It had a shrill voice.,negation,1,0,25.14653
128,Thomas mentioned a dog. The dog had a colorful back.,negation,0,1,25.690605
128,Thomas didn't mention a dog. The dog had a colorful back.,negation,0,0,28.52639
129,Thomas mentioned a dog. It had a colorful back.,negation,1,1,23.967022
129,Thomas didn't mention a dog. It had a colorful back.,negation,1,0,25.599192
130,Michael mentioned a dog. The dog enjoyed frolicking in the forest.,negation,0,1,31.493145
130,Michael didn't mention a dog. The dog enjoyed frolicking in the forest.,negation,0,0,34.410366
131,Michael mentioned a dog. It enjoyed frolicking in the forest.,negation,1,1,30.851606
131,Michael didn't mention a dog. It enjoyed frolicking in the forest.,negation,1,0,32.92434
132,Sarah mentioned a dog. The dog preferred fish over other food.,negation,0,1,33.298462
132,Sarah didn't mention a dog. The dog preferred fish over other food.,negation,0,0,36.33338
133,Sarah mentioned a dog. It preferred fish over other food.,negation,1,1,32.45093
133,Sarah didn't mention a dog. It preferred fish over other food.,negation,1,0,34.635483
134,Barbara mentioned a dog. The dog's name was Fido.,negation,0,1,18.87432
134,Barbara didn't mention a dog. The dog's name was Fido.,negation,0,0,21.731373
135,Barbara mentioned a dog. Its name was Fido.,negation,1,1,19.43284
135,Barbara didn't mention a dog. Its name was Fido.,negation,1,0,21.799232
136,Chris mentioned a dog. The dog liked to swim in lakes.,negation,0,1,28.588448
136,Chris didn't mention a dog. The dog liked to swim in lakes.,negation,0,0,31.663176
137,Chris mentioned a dog. It liked to swim in lakes.,negation,1,1,26.821434
137,Chris didn't mention a dog. It liked to swim in lakes.,negation,1,0,29.460495
138,James mentioned a dog. The dog loved cheese.,negation,0,1,20.681494
138,James didn't mention a dog. The dog loved cheese.,negation,0,0,24.45327
139,James mentioned a dog. It loved cheese.,negation,1,1,19.373556
139,James didn't mention a dog. It loved cheese.,negation,1,0,23.255419
140,Elizabeth visited a dog. The dog had a long tail.,negation,0,1,16.7824
140,Elizabeth didn't visit a dog. The dog had a long tail.,negation,0,0,19.33451
141,Elizabeth visited a dog. It had a long tail.,negation,1,1,16.352837
141,Elizabeth didn't visit a dog. It had a long tail.,negation,1,0,18.730167
142,Joseph visited a dog. The dog had a red collar.,negation,0,1,19.18868
142,Joseph didn't visit a dog. The dog had a red collar.,negation,0,0,22.019575
143,Joseph visited a dog. It had a red collar.,negation,1,1,18.634336
143,Joseph didn't visit a dog. It had a red collar.,negation,1,0,21.151682
144,James visited a dog. The dog had a blind eye.,negation,0,1,21.169037
144,James didn't visit a dog. The dog had a blind eye.,negation,0,0,23.264736
145,James visited a dog. It had a blind eye.,negation,1,1,20.26348
145,James didn't visit a dog. It had a blind eye.,negation,1,0,22.135176
146,Sarah visited a dog. The dog had a shrill voice.,negation,0,1,25.54265
146,Sarah didn't visit a dog. The dog had a shrill voice.,negation,0,0,27.42573
147,Sarah visited a dog. It had a shrill voice.,negation,1,1,25.754255
147,Sarah didn't visit a dog. It had a shrill voice.,negation,1,0,26.905655
148,Michael visited a dog. The dog had a colorful back.,negation,0,1,25.538076
148,Michael didn't visit a dog. The dog had a colorful back.,negation,0,0,27.538727
149,Michael visited a dog. It had a colorful back.,negation,1,1,24.373676
149,Michael didn't visit a dog. It had a colorful back.,negation,1,0,26.310246
150,Nancy visited a dog. The dog enjoyed frolicking in the forest.,negation,0,1,31.934628
150,Nancy didn't visit a dog. The dog enjoyed frolicking in the forest.,negation,0,0,33.643116
151,Nancy visited a dog. It enjoyed frolicking in the forest.,negation,1,1,31.31862
151,Nancy didn't visit a dog. It enjoyed frolicking in the forest.,negation,1,0,32.119614
152,Chris visited a dog. The dog preferred fish over other food.,negation,0,1,32.81386
152,Chris didn't visit a dog. The dog preferred fish over other food.,negation,0,0,35.337776
153,Chris visited a dog. It preferred fish over other food.,negation,1,1,32.86657
153,Chris didn't visit a dog. It preferred fish over other food.,negation,1,0,34.33434
154,Joseph visited a dog. The dog's name was Fido.,negation,0,1,19.329529
154,Joseph didn't visit a dog. The dog's name was Fido.,negation,0,0,21.957972
155,Joseph visited a dog. Its name was Fido.,negation,1,1,20.347666
155,Joseph didn't visit a dog. Its name was Fido.,negation,1,0,23.044613
156,Thomas visited a dog. The dog liked to swim in lakes.,negation,0,1,29.478935
156,Thomas didn't visit a dog. The dog liked to swim in lakes.,negation,0,0,30.470156
157,Thomas visited a dog. It liked to swim in lakes.,negation,1,1,28.073696
157,Thomas didn't visit a dog. It liked to swim in lakes.,negation,1,0,29.391718
158,Susan visited a dog. The dog loved cheese.,negation,0,1,20.716583
158,Susan didn't visit a dog. The dog loved cheese.,negation,0,0,22.687817
159,Susan visited a dog. It loved cheese.,negation,1,1,21.045881
159,Susan didn't visit a dog. It loved cheese.,negation,1,0,24.10952
160,Bill met a dog. The dog had a long tail.,negation,0,1,17.493454
160,Bill didn't meet a dog. The dog had a long tail.,negation,0,0,19.002163
161,Bill met a dog. It had a long tail.,negation,1,1,16.22221
161,Bill didn't meet a dog. It had a long tail.,negation,1,0,17.23654
162,Barbara met a dog. The dog had a red collar.,negation,0,1,18.638779
162,Barbara didn't meet a dog. The dog had a red collar.,negation,0,0,20.41592
163,Barbara met a dog. It had a red collar.,negation,1,1,17.471836
163,Barbara didn't meet a dog. It had a red collar.,negation,1,0,19.395794
164,Elizabeth met a dog. The dog had a blind eye.,negation,0,1,21.243534
164,Elizabeth didn't meet a dog. The dog had a blind eye.,negation,0,0,23.085575
165,Elizabeth met a dog. It had a blind eye.,negation,1,1,20.703165
165,Elizabeth didn't meet a dog. It had a blind eye.,negation,1,0,22.232054
166,Thomas met a dog. The dog had a shrill voice.,negation,0,1,24.087143
166,Thomas didn't meet a dog. The dog had a shrill voice.,negation,0,0,26.563185
167,Thomas met a dog. It had a shrill voice.,negation,1,1,24.493977
167,Thomas didn't meet a dog. It had a shrill voice.,negation,1,0,26.016441
168,Nancy met a dog. The dog had a colorful back.,negation,0,1,25.936895
168,Nancy didn't meet a dog. The dog had a colorful back.,negation,0,0,26.891502
169,Nancy met a dog. It had a colorful back.,negation,1,1,24.351994
169,Nancy didn't meet a dog. It had a colorful back.,negation,1,0,25.097952
170,Bob met a dog. The dog enjoyed frolicking in the forest.,negation,0,1,29.560062
170,Bob didn't meet a dog. The dog enjoyed frolicking in the forest.,negation,0,0,32.754
171,Bob met a dog. It enjoyed frolicking in the forest.,negation,1,1,30.401678
171,Bob didn't meet a dog. It enjoyed frolicking in the forest.,negation,1,0,33.26085
172,Thomas met a dog. The dog preferred fish over other food.,negation,0,1,32.836414
172,Thomas didn't meet a dog. The dog preferred fish over other food.,negation,0,0,34.596085
173,Thomas met a dog. It preferred fish over other food.,negation,1,1,33.228783
173,Thomas didn't meet a dog. It preferred fish over other food.,negation,1,0,33.846283
174,David met a dog. The dog's name was Fido.,negation,0,1,18.367449
174,David didn't meet a dog. The dog's name was Fido.,negation,0,0,20.65684
175,David met a dog. Its name was Fido.,negation,1,1,19.180311
175,David didn't meet a dog. Its name was Fido.,negation,1,0,21.473455
176,Michael met a dog. The dog liked to swim in lakes.,negation,0,1,28.013765
176,Michael didn't meet a dog. The dog liked to swim in lakes.,negation,0,0,29.9189
177,Michael met a dog. It liked to swim in lakes.,negation,1,1,26.882277
177,Michael didn't meet a dog. It liked to swim in lakes.,negation,1,0,29.351576
178,Elizabeth met a dog. The dog loved cheese.,negation,0,1,19.759819
178,Elizabeth didn't meet a dog. The dog loved cheese.,negation,0,0,22.533012
179,Elizabeth met a dog. It loved cheese.,negation,1,1,19.668514
179,Elizabeth didn't meet a dog. It loved cheese.,negation,1,0,23.53198
180,Bill adopt a dog. The dog had a long tail.,negation,0,1,23.62706
180,Bill didn't adopt a dog. The dog had a long tail.,negation,0,0,20.30833
181,Bill adopt a dog. It had a long tail.,negation,1,1,20.812645
181,Bill didn't adopt a dog. It had a long tail.,negation,1,0,17.176748
182,Mary adopt a dog. The dog had a red collar.,negation,0,1,23.100063
182,Mary didn't adopt a dog. The dog had a red collar.,negation,0,0,22.47971
183,Mary adopt a dog. It had a red collar.,negation,1,1,21.22247
183,Mary didn't adopt a dog. It had a red collar.,negation,1,0,20.31853
184,Elizabeth adopt a dog. The dog had a blind eye.,negation,0,1,26.610903
184,Elizabeth didn't adopt a dog. The dog had a blind eye.,negation,0,0,24.69776
185,Elizabeth adopt a dog. It had a blind eye.,negation,1,1,24.756062
185,Elizabeth didn't adopt a dog. It had a blind eye.,negation,1,0,22.86893
186,Sarah adopt a dog. The dog had a shrill voice.,negation,0,1,30.970358
186,Sarah didn't adopt a dog. The dog had a shrill voice.,negation,0,0,28.897955
187,Sarah adopt a dog. It had a shrill voice.,negation,1,1,29.00538
187,Sarah didn't adopt a dog. It had a shrill voice.,negation,1,0,27.183058
188,Nancy adopt a dog. The dog had a colorful back.,negation,0,1,30.73848
188,Nancy didn't adopt a dog. The dog had a colorful back.,negation,0,0,27.711994
189,Nancy adopt a dog. It had a colorful back.,negation,1,1,27.247055
189,Nancy didn't adopt a dog. It had a colorful back.,negation,1,0,24.534458
190,Elizabeth adopt a dog. The dog enjoyed frolicking in the forest.,negation,0,1,35.45111
190,Elizabeth didn't adopt a dog. The dog enjoyed frolicking in the forest.,negation,0,0,34.408665
191,Elizabeth adopt a dog. It enjoyed frolicking in the forest.,negation,1,1,34.82685
191,Elizabeth didn't adopt a dog. It enjoyed frolicking in the forest.,negation,1,0,33.70863
192,James adopt a dog. The dog preferred fish over other food.,negation,0,1,36.040493
192,James didn't adopt a dog. The dog preferred fish over other food.,negation,0,0,35.69762
193,James adopt a dog. It preferred fish over other food.,negation,1,1,34.05463
193,James didn't adopt a dog. It preferred fish over other food.,negation,1,0,32.632618
194,Thomas adopt a dog. The dog's name was Fido.,negation,0,1,21.93512
194,Thomas didn't adopt a dog. The dog's name was Fido.,negation,0,0,21.84094
